Year,Event,Location,1st Place Time,1st Place Location,2nd Place Time,2nd Place Location,3rd Place Time,3rd Place Location,4th Place Time,4th Place Location,5th Place Time,5th Place Location,6th Place Time,6th Place Location
2014,World Rowing Championships,World Record,06:05.360,RSA,,,,,,,,,,
2019,2019 World Rowing Championships,"Linz Ottensheim, AUT",06:37.280,IRL,06:39.710,ITA,06:41.070,GER,06:44.070,NOR,06:48.750,ESP,06:49.860,POL
2019,2019 World Rowing Cup III,"Rotterdam, NED",07:01.590,GER1,07:01.620,IRL,07:02.260,NOR,07:05.330,BEL,07:08.190,NZL,07:09.770,AUS
2019,2019 World Rowing Cup II,"Poznan, POL",06:47.940,GER,06:49.460,ITA,06:50.660,AUS,06:51.420,CAN,06:54.000,NZL,06:55.920,DEN
2019,2019 World Rowing Cup I,"Plovdiv, BUL",06:40.400,BEL,06:42.990,POL,06:43.710,POR,06:45.950,AUT,06:47.150,CHN1,06:47.290,ESP
2019,2019 European Rowing Championships,"Lucerne, SUI",06:12.580,GER,06:13.950,ITA,06:15.510,BEL,06:18.420,ESP,06:19.070,IRL,06:19.200,DEN
2018,2018 World Rowing Championships,"Plovdiv, BUL",06:06.810,IRL,06:08.310,ITA,06:11.250,BEL,06:15.360,NZL,06:17.180,NOR,06:19.260,ESP
2018,2018 World Rowing Cup III,"Lucerne, SUI",06:28.500,IRL,06:29.300,BEL,06:32.390,DEN,06:33.800,CAN,06:36.220,POL,06:37.250,NZL
2018,2018 World Rowing Cup II,"Linz Ottensheim, AUT",06:22.710,ITA1,06:24.450,NOR,06:25.840,BEL,06:26.570,FRA1,06:26.640,POL,06:28.680,NZL
2018,2018 World Rowing Cup I,"Belgrade, SRB",06:13.040,POL,06:14.090,BEL,06:14.100,IRL,06:17.270,CAN2,06:17.320,AUT,06:23.870,SUI1
2018,2018 European Rowing Championships,"Glasgow, GBR",06:20.850,NOR,06:22.840,IRL,06:23.320,ITA,06:24.830,BEL,06:28.040,POL,06:28.420,UKR
2017,2017 World Rowing Championships,"Sarasota-Bradenton, USA",06:13.100,FRA,06:15.150,ITA,06:15.400,CHN,06:15.940,POL,06:17.000,BEL,06:19.520,GER
2017,2017 World Rowing Cup III,"Lucerne, SUI",06:12.960,FRA,06:15.430,ITA,06:18.150,IRL,06:19.300,BEL,06:19.950,GRE,06:21.340,CZE
2017,2017 World Rowing Cup II,"Poznan, POL",06:12.400,FRA,06:15.330,IRL,06:15.900,POL,06:16.170,CHN1,06:17.670,GER,06:17.990,JPN2
2017,2017 World Rowing Cup I,"Belgrade, SRB",06:25.670,GBR1,06:26.270,CZE,06:26.630,POL,06:27.120,IRL,06:32.830,NED1,06:38.410,ESP
2017,2017 European Rowing Championships,"Racice, CZE",06:17.670,FRA,06:20.060,IRL,06:20.360,ITA,06:20.520,POL,06:26.230,GER,06:31.110,GBR
2016,2016 Olympic Games Regatta,"Rio de Janeiro, BRA",06:30.700,FRA,06:31.230,IRL,06:31.390,NOR,06:33.290,RSA,06:35.070,USA,06:42.000,POL
2016,2016 World Rowing Cup III,"Poznan, POL",06:11.920,FRA,06:14.010,NOR,06:14.670,ITA,06:15.460,IRL,06:20.710,GBR,06:26.060,AUT
2016,2016 World Rowing Cup II,"Lucerne, SUI",06:19.260,FRA,06:21.810,NOR,06:22.420,RSA,06:23.460,IRL,06:25.720,GBR,06:28.080,USA
2016,2016 World Rowing Cup I,"Varese, ITA",06:41.130,RSA,06:41.360,IRL,06:44.120,BEL,06:44.290,NED1,06:49.100,ESP,06:55.170,DEN
2016,2016 European Rowing Championships,"Brandenburg, GER",06:57.760,IRL,06:59.540,GER,07:00.520,NOR,07:05.360,POL,07:07.730,BEL,07:08.740,NED
2015,2015 World Rowing Championships,"Aiguebelette, FRA",06:13.380,FRA,06:15.150,GBR,06:15.620,NOR,06:17.460,RSA,06:19.390,ITA,06:26.040,GER
