Year,Event,Location,1st Place Time,1st Place Location,2nd Place Time,2nd Place Location,3rd Place Time,3rd Place Location,4th Place Time,4th Place Location,5th Place Time,5th Place Location,6th Place Time,6th Place Location
2015,2015 World Rowing Championships,"Aiguebelette, FRA",05:38.920,GER,05:40.140,FRA,05:40.410,USA,05:40.550,ITA,05:43.110,TUR,,
2014,2014 World Rowing Championships,"Amsterdam, NED",05:31.290,GER,05:33.870,ITA,05:34.200,TUR,05:40.160,NED,05:41.640,USA,,
2013,2013 World Rowing Championships,"Chungju, KOR",06:02.270,ITA,06:06.510,AUS,06:10.200,USA,,,,,,
2012,2012 World Rowing Championships,"Plovdiv, BUL",05:44.100,GER,05:46.780,ITA,05:47.850,CHN,05:50.410,POL,05:51.330,AUS,05:57.500,JPN
2011,2011 World Rowing Championships,"Bled, SLO",05:44.570,AUS,05:44.730,ITA,05:46.750,DEN,05:48.160,FRA,05:51.240,USA,,
2011,2011 World Rowing Cup III,"Lucerne, SUI",05:48.810,ITA,05:50.550,DEN,05:58.580,GER,,,,,,
2010,2010 World Rowing Championships,"Karapiro, NZL",05:48.610,GER,05:50.270,AUS,05:52.240,ITA,05:55.370,CHN,05:57.650,USA,,
2010,2010 World Rowing Cup III,"Lucerne, SUI",06:43.330,ITA,06:53.050,NED,,,,,,,,
2010,2010 European Championships,"Montemor-o-Velho, POR",06:08.640,ITA,06:09.240,DEN,06:25.660,POR,,,,,,
2009,2009 World Rowing Championships,"Poznan, POL",05:33.920,ITA,05:37.150,USA,05:39.690,NED,05:41.800,JPN,05:41.930,FRA,05:43.400,GER
2009,2009 World Rowing Cup III,"Lucerne, SUI",05:50.070,NED,05:53.920,ITA,05:56.180,GER,06:02.120,AUT,,,,
2008,2008 World Rowing Championships,"Linz Ottensheim, AUT",05:50.290,USA,05:51.690,GER,05:52.370,NED,05:53.460,ITA,05:55.110,POL,05:56.550,CAN
2008,2008 World Rowing Cup III,"Poznan, POL",05:46.870,ITA,05:48.950,POL,05:49.370,AUT,05:55.940,DEN,,,,
2007,2007 World Rowing Championships,"Munich, GER",05:42.060,NED,05:44.520,GER,05:46.330,ITA,05:48.510,DEN,05:51.970,USA,05:52.650,POL
2007,2007 World Rowing Cup III,"Lucerne, SUI",05:46.300,GER,05:48.390,ITA,05:49.060,NED,05:54.760,DEN,05:58.080,POL,,
2007,2007 World Rowing Cup II,"Amsterdam, NED",05:43.940,GER,05:46.520,DEN,05:46.740,NED,06:01.640,POR,,,,
2006,2006 World Rowing Championships,"Eton, GBR",05:36.350,ITA,05:38.480,GER,05:38.710,POL,05:40.080,DEN,05:40.170,USA,05:41.690,NED
2006,2006 World Rowing Cup III,"Lucerne, SUI",05:45.730,ITA,05:47.510,DEN,05:48.890,POL,05:51.880,NED1,05:59.540,NED2,00:00.000,GER
2005,2005 World Rowing Championships,"Gifu, JPN",05:59.420,ITA,06:09.870,JPN,,,,,,,,
2005,2005 World Rowing Cup III,"Lucerne, SUI",05:46.780,ITA,05:54.800,IRL,05:58.000,JPN,06:00.460,NED,,,,
2004,2004 World Rowing Championships,"Banyoles, ESP",05:42.490,FRA,05:43.880,ITA,05:46.640,AUS,05:46.800,GER,05:51.770,USA,,
2004,2004 World Rowing Cup III,"Lucerne, SUI",05:46.760,GER,05:49.390,ITA,05:55.850,SUI,05:57.820,GBR,,,,
2003,2003 World Rowing Championships,"Milan, ITA",05:41.430,GER,05:43.950,USA,05:45.430,FRA,05:50.650,DEN,05:50.700,ITA,05:54.680,GBR
2003,2003 World Rowing Cup III,"Lucerne, SUI",05:38.670,GER,05:41.790,ITA,05:44.200,DEN,05:47.720,GBR,05:52.620,AUT,,
2002,2002 World Rowing Championships,"Seville, ESP",05:35.050,ITA,05:36.610,GER,05:38.210,USA,05:40.650,DEN,05:44.600,GBR,06:07.750,ESA
2002,2002 World Rowing Cup III,"Munich, GER",05:45.030,DEN,05:46.370,GER,05:48.870,GBR,,,,,,
2002,2002 World Rowing Cup II,"Lucerne, SUI",05:44.260,DEN,05:44.300,GER,05:45.670,NED,,,,,,
2001,2001 World Rowing Championships,"Lucerne, SUI",05:37.210,FRA,05:37.990,DEN,05:38.800,USA,05:39.200,ITA,05:41.300,GBR,05:41.760,AUS
