Year,Event,Location,1st Place Time,1st Place Location,2nd Place Time,2nd Place Location,3rd Place Time,3rd Place Location,4th Place Time,4th Place Location,5th Place Time,5th Place Location,6th Place Time,6th Place Location
2017,2017 World Rowing Championships,"Sarasota-Bradenton, USA",05:59.600,ITA,06:01.910,RUS,06:03.370,GER,06:04.620,CHN,06:18.600,HUN,06:27.500,USA
2017,2017 World Rowing Cup III,"Lucerne, SUI",05:53.840,ITA,05:54.510,RUS,05:58.520,GER,06:03.600,INA2,06:15.900,INA1,,
2017,2017 European Rowing Championships,"Racice, CZE",06:08.090,RUS,06:08.230,ITA,06:14.740,CZE,06:22.910,TUR,06:24.960,HUN,,
2016,2016 Olympic Games Regatta,"Rio de Janeiro, BRA",06:20.510,SUI,06:21.970,DEN,06:22.850,FRA,06:25.520,ITA,06:28.140,NZL,06:36.470,GRE
2016,2016 World Rowing Cup III,"Poznan, POL",05:48.340,NZL,05:51.070,DEN,05:51.780,GBR,05:52.740,FRA,05:56.650,GER,05:59.650,ITA
2016,2016 World Rowing Cup II,"Lucerne, SUI",06:02.140,NZL,06:03.920,SUI,06:04.430,DEN,06:06.580,FRA,06:07.440,GBR,06:10.660,NED
2016,2016 World Rowing Cup I,"Varese, ITA",06:16.910,SUI,06:22.330,CHN,06:22.990,USA,06:24.150,NED,06:28.540,GER,06:30.430,CZE
2016,2016 European Rowing Championships,"Brandenburg, GER",06:45.240,SUI,06:47.730,GBR,06:51.660,GER,06:51.740,NED,06:59.490,CZE,07:01.520,ESP
2015,2015 World Rowing Championships,"Aiguebelette, FRA",05:55.310,SUI,05:57.580,DEN,05:58.220,FRA,05:59.170,NZL,06:00.830,NED,06:03.170,ITA
2015,2015 World Rowing Cup III,"Lucerne, SUI",05:54.980,NZL,05:55.750,SUI,05:57.440,DEN,05:58.800,FRA,06:01.340,ITA,06:04.270,NED
2015,2015 World Rowing Cup II,"Varese, ITA",05:57.380,NZL,05:58.910,SUI,05:59.850,FRA,06:02.170,GBR,06:02.900,CHN1,06:07.660,CHN2
2015,2015 World Rowing Cup I,"Bled, SLO",05:54.000,SUI,05:54.290,CHN2,05:54.940,CHN1,06:01.120,GER,06:06.840,NED,06:06.850,ESP
2015,2015 European Rowing Championships,"Poznan, POL",05:52.270,SUI,05:53.690,FRA,05:53.760,DEN,05:55.750,GBR,05:56.540,NED,05:57.140,ESP
2014,2014 World Rowing Championships,"Amsterdam, NED",05:47.150,DEN,05:48.760,NZL,05:49.580,GBR,05:49.860,FRA,05:56.110,AUS,05:59.180,NED
2014,2014 World Rowing Cup III,"Lucerne, SUI",06:00.170,NZL,06:02.890,DEN,06:06.090,GBR,06:07.880,FRA,06:09.090,AUS,06:09.630,ITA2
2014,2014 World Rowing Cup II,"Aiguebelette, FRA",05:53.810,NZL,05:56.170,DEN,05:57.320,GBR,05:58.930,USA,05:59.360,FRA1,06:08.810,CHN
2014,2014 European Rowing Championships,"Belgrade, SRB",06:08.810,DEN,06:10.970,GBR,06:12.810,FRA,06:18.040,ESP,06:19.290,GER,06:27.360,POL
2013,2013 World Rowing Championships,"Chungju, KOR",05:55.680,DEN,05:57.280,NZL,05:59.980,GBR,06:01.250,FRA,06:05.890,USA,06:11.990,RSA
2013,2013 World Rowing Cup III,"Lucerne, SUI",05:53.520,NZL,05:55.490,DEN,05:58.160,NED,06:00.870,RSA,06:00.920,GBR,06:03.650,POL
2013,2013 World Rowing Cup II,"Eton, GBR",05:49.460,NZL,05:49.500,DEN,05:53.940,GBR,05:55.840,AUT,06:02.460,POL,06:07.600,JPN
2013,2013 World Rowing Cup I,"Sydney, AUS",05:58.980,NZL,06:02.750,GBR,06:05.010,AUS1,06:11.730,AUS2,06:35.800,CHN,,
2013,2013 European Championships,"Seville, ESP",06:27.280,DEN,06:29.680,CZE,06:30.380,FRA,06:31.710,ITA,06:34.560,AUT,06:36.180,ESP
2012,2012 Olympic Games,"London, GBR",06:02.840,RSA,06:03.090,GBR,06:03.160,DEN,06:04.050,AUS,06:09.300,SUI,06:11.390,NED
2012,2012 World Rowing Cup III,"Munich, GER",06:16.340,GBR,06:18.810,AUS,06:19.490,DEN,06:19.970,FRA,06:20.420,SUI,06:23.550,CZE
2012,2012 World Rowing Cup II,"Lucerne, SUI",05:53.100,CHN,05:53.710,RSA,05:54.960,GBR,05:55.400,DEN,05:59.610,FRA1,06:05.510,SUI
