Year,Event,Location,1st Place Time,1st Place Location,2nd Place Time,2nd Place Location,3rd Place Time,3rd Place Location,4th Place Time,4th Place Location,5th Place Time,5th Place Location,6th Place Time,6th Place Location
2014,World Rowing Championships,World Record,06:22.910,SUI,,,,,,,,,,
2018,2018 World Rowing Championships,"Plovdiv, BUL",ITA,06:38.550,GRE,06:41.480,USA,06:56.990,,,,,,
2018,2018 World Rowing Cup II,"Linz Ottensheim, AUT",BRA,06:48.120,AUT,06:53.250,,,,,,,,
2017,2017 World Rowing Championships,"Sarasota-Bradenton, USA",IRL,06:32.420,ITA,06:34.200,BRA,06:35.300,GBR,06:37.560,RUS,06:45.520,USA,06:59.010
2017,2017 World Rowing Cup III,"Lucerne, SUI",IRL,06:34.000,RUS,06:36.280,BRA,06:37.500,GBR,06:38.840,FRA,06:45.940,NOR,06:58.680
2017,2017 World Rowing Cup II,"Poznan, POL",IRL,06:32.930,GBR,06:34.170,BRA,06:37.210,,,,,,
2017,2017 World Rowing Cup I,"Belgrade, SRB",IRL,06:46.650,RUS,06:47.670,GBR,06:48.400,HUN,07:07.500,,,,
2017,2017 European Rowing Championships,"Racice, CZE",IRL,06:32.340,RUS,06:34.740,ITA,06:34.890,GBR,06:39.750,FRA,06:44.360,TUR,06:46.520
2016,2016 World Rowing Championships,"Rotterdam, NED",FRA,07:14.180,DEN,07:15.300,GBR,07:16.490,IRL,07:24.600,CHN,07:32.480,USA,07:36.910
2016,2016 World Rowing Cup III,"Poznan, POL",GBR,06:26.780,DEN,06:27.660,FRA,06:29.790,TUR,06:30.840,IRL,06:32.140,GER,06:35.450
2016,2016 World Rowing Cup II,"Lucerne, SUI",GBR,06:31.030,FRA,06:32.750,ITA,06:33.800,DEN,06:34.500,GER,06:35.870,SUI,06:43.150
2016,2016 World Rowing Cup I,"Varese, ITA",GER,06:36.770,SUI,06:37.090,CHN,06:40.150,ESP1,06:40.480,TUR,06:44.550,ITA2,06:48.280
2016,2016 European Rowing Championships,"Brandenburg, GER",GBR,07:00.380,DEN,07:03.940,ESP,07:05.320,IRL,07:09.670,GER,07:09.960,POR,07:16.780
2015,2015 World Rowing Championships,"Aiguebelette, FRA",GBR,06:29.400,FRA,06:32.020,GER,06:34.530,ITA,06:35.100,USA,06:37.460,AUS,06:38.420
2015,2015 World Rowing Cup III,"Lucerne, SUI",ITA,06:54.520,GBR,06:54.710,DEN,06:56.810,FRA,07:00.430,GER,07:08.430,IRL,07:14.150
2015,2015 World Rowing Cup II,"Varese, ITA",FRA,06:31.330,GBR,06:32.200,ITA,06:34.030,CHN,06:44.230,,,,
2015,2015 World Rowing Cup I,"Bled, SLO",CHN,06:41.790,ESP,06:42.050,GER1,06:48.020,AUT,06:48.180,CZE,00:00.000,,
2015,2015 European Rowing Championships,"Poznan, POL",GBR,06:28.580,FRA,06:28.880,GER,06:34.600,ESP,06:34.870,GRE,06:36.100,POL,06:43.980
2014,2014 World Rowing Championships,"Amsterdam, NED",SUI,06:22.910,FRA,06:25.020,GBR,06:25.480,CZE,06:32.250,ITA,06:36.680,AUS,06:48.630
2014,2014 World Rowing Cup III,"Lucerne, SUI",SUI,06:41.580,CZE,06:41.820,GBR,06:42.640,FRA,06:46.410,AUS,06:49.950,ITA2,06:53.520
2014,2014 World Rowing Cup II,"Aiguebelette, FRA",CZE,06:39.480,FRA1,06:39.830,ARG,06:40.340,GBR,06:42.980,FRA3,06:49.110,AUT,06:51.880
2014,2014 European Rowing Championships,"Belgrade, SRB",SUI,06:29.570,GBR,06:30.320,NED,06:30.490,FRA,06:33.930,GER,06:33.970,ITA,06:34.550
2013,2013 World Rowing Championships,"Chungju, KOR",SUI,06:49.850,ITA,06:51.480,GBR,06:52.080,CAN,06:57.580,GER,06:59.800,AUT,07:07.090
2013,2013 World Rowing Cup III,"Lucerne, SUI",GBR,06:34.580,USA,06:36.170,ESP,06:38.510,SUI,06:40.220,GER1,06:40.400,ITA1,06:41.730
2013,2013 World Rowing Cup II,"Eton, GBR",GBR1,06:36.890,GBR2,06:38.810,AUT,06:45.400,JPN,06:49.530,,,,
2013,2013 European Championships,"Seville, ESP",SUI,07:23.210,ITA,07:24.520,ESP,07:25.790,GER,07:27.290,GRE,07:35.210,POR,07:38.910
2012,2012 World Rowing Championships,"Plovdiv, BUL",ITA,06:37.110,NED,06:37.180,FRA,06:39.880,DEN,06:40.460,SRB,06:43.900,AUT,06:47.690
2012,2012 World Rowing Cup III,"Munich, GER",GBR,06:50.560,NED2,06:52.320,AUS,06:53.340,DEN,06:55.880,GER1,06:59.290,GER2,07:03.670
2012,2012 World Rowing Cup II,"Lucerne, SUI",NED2,06:29.920,CHN,06:30.610,AUS,06:34.740,NED1,06:36.110,DEN,06:37.370,FRA1,00:00.000
2012,2012 World Rowing Cup I,"Belgrade, SRB",GBR,06:36.220,CZE,06:38.220,FRA,06:40.500,NED2,06:42.110,CHN,06:46.300,HKG,06:48.080
2011,2011 World Rowing Championships,"Bled, SLO",GBR,06:27.590,ITA,06:29.070,GER,06:29.190,NZL,06:30.900,AUS1,06:35.900,NED1,06:36.160
2011,2011 World Rowing Cup III,"Lucerne, SUI",GER,06:44.300,CAN,06:45.210,ITA,06:48.270,FRA2,06:49.250,NZL,06:53.880,ESP,07:01.600
2011,2011 World Rowing Cup II,"Hamburg, GER",GER,06:44.180,AUT,06:53.410,MEX,07:00.120,HKG,00:00.000,GER,06:49.310,HKG,06:55.130
2011,2011 World Rowing Cup I,"Munich, GER",CZE,06:34.290,GBR2,06:35.600,ITA1,06:35.910,SRB,06:36.010,GER,06:37.020,GER,06:36.340
2010,2010 World Rowing Championships,"Karapiro, NZL",FRA,07:18.920,NZL,07:21.290,CAN,07:23.790,ITA,07:25.820,GER,07:30.160,GBR,07:39.780
2010,2010 World Rowing Cup III,"Lucerne, SUI",FRA1,06:43.350,CAN,06:44.390,FRA2,06:45.450,GBR,06:47.880,CHI,06:48.440,NED,06:53.190
2010,2010 World Rowing Cup II,"Munich, GER",SUI2,06:49.730,CHI,06:50.800,SUI1,06:54.160,GBR,06:54.520,DEN,06:56.250,HKG,07:02.080
2010,2010 World Rowing Cup I,"Bled, SLO",FRA1,06:49.330,SRB,06:51.810,GBR,06:54.500,FRA2,06:56.940,CHI,06:57.680,ITA3,06:58.030
2010,2010 European Championships,"Montemor-o-Velho, POR",FRA,07:12.990,NED,07:21.390,ESP,07:22.870,ITA,07:27.020,,,,
2009,2009 World Rowing Championships,"Poznan, POL",FRA,06:29.630,ITA,06:31.400,SRB,06:31.580,RSA,06:34.720,GBR,06:41.210,DEN,06:44.040
2009,2009 World Rowing Cup III,"Lucerne, SUI",ITA1,06:40.430,FRA1,06:42.240,ITA2,06:45.230,DEN1,06:48.710,DEN2,06:51.410,FRA2,06:54.320
2009,2009 World Rowing Cup II,"Munich, GER",SRB,06:37.120,DEN1,06:43.570,DEN2,06:47.980,JPN,06:50.030,GER,06:50.090,AUT,06:51.590
2009,2009 World Rowing Cup I,"Banyoles, ESP",ITA,06:39.900,FRA1,06:41.020,NED1,06:41.740,SRB,06:47.740,FRA2,06:47.870,DEN,06:52.580
2008,2008 World Rowing Championships,"Linz Ottensheim, AUT",GRE,06:40.920,ITA,06:42.880,SRB,06:45.250,NED,06:48.150,RUS,06:50.390,AUT,06:50.460
2008,2008 World Rowing Cup III,"Poznan, POL",GRE,06:30.850,AUT1,06:33.320,JPN1,06:33.350,GBR,06:35.480,ITA,06:37.820,JPN2,06:42.960
2008,2008 World Rowing Cup II,"Lucerne, SUI",DEN,06:49.490,NED1,06:52.130,FRA,06:54.860,GBR,06:56.870,NED2,06:58.710,AUT,07:02.790
2008,2008 World Rowing Cup I,"Munich, GER",DEN,07:19.870,ITA1,07:21.490,FRA,07:27.460,ITA3,07:32.550,GBR,07:36.160,ITA2,07:41.080
2007,2007 World Rowing Championships,"Munich, GER",ITA,06:38.000,GER,06:39.430,AUS,06:42.050,FRA,06:42.330,GBR,06:42.910,GRE,06:48.390
2007,2007 World Rowing Cup III,"Lucerne, SUI",ITA,06:39.230,GBR,06:41.360,GER1,06:42.240,AUS,06:42.950,GRE2,06:52.120,DEN,06:52.960
2007,2007 World Rowing Cup II,"Amsterdam, NED",GBR,06:42.100,DEN,06:44.950,BEL,06:46.390,,,,,,
2007,2007 World Rowing Cup I,"Linz Ottensheim, AUT",ITA1,06:45.330,NED,06:47.270,GBR,06:48.680,CAN,06:53.800,ITA3,06:56.340,DEN,06:58.030
2006,2006 World Rowing Championships,"Eton, GBR",GER,06:28.410,ESP,06:30.170,ITA,06:30.640,AUS,06:35.460,RUS,06:35.650,GBR,06:39.590
