Year,Event,Location,1st Place Time,1st Place Location,2nd Place Time,2nd Place Location,3rd Place Time,3rd Place Location,4th Place Time,4th Place Location,5th Place Time,5th Place Location,6th Place Time,6th Place Location
2014,World Rowing Championships,World Record,05:42.750,GRE,,,,,,,,,,
2018,2018 World Rowing Championships,"Plovdiv, BUL",GER,05:51.210,ITA,05:52.850,TUR,05:53.950,DEN,05:55.690,IRL,05:56.640,CZE,05:59.770
2018,2018 World Rowing Cup III,"Lucerne, SUI",GER,05:55.300,DEN,05:55.920,NED,05:58.380,CZE,05:59.310,AUS,06:01.440,HUN,06:05.190
2018,2018 World Rowing Cup II,"Linz Ottensheim, AUT",ITA,05:52.580,GER,05:58.360,NOR,06:01.000,AUT,06:01.340,AUS,06:01.580,HUN,06:10.300
2018,2018 World Rowing Cup I,"Belgrade, SRB",CZE,06:06.070,HUN,06:08.010,,,,,,,,
2018,2018 European Rowing Championships,"Glasgow, GBR",ITA,06:01.010,CZE,06:09.130,NED,06:10.540,RUS,06:10.930,HUN,06:11.160,NOR,06:13.440
2017,2017 World Rowing Championships,"Sarasota-Bradenton, USA",FRA,05:51.850,GBR,05:52.020,GRE,05:53.640,ITA,05:54.120,JPN,05:56.990,SUI,05:58.330
2017,2017 World Rowing Cup III,"Lucerne, SUI",ITA,05:48.390,FRA,05:49.860,CZE,05:53.690,GER,05:56.220,AUS,05:56.800,NED,05:57.110
2016,2016 World Rowing Championships,"Rotterdam, NED",GER,06:23.090,FRA,06:24.720,GRE,06:26.580,UKR,06:28.630,DEN,06:29.680,GBR,06:31.710
2016,2016 World Rowing Cup III,"Poznan, POL",DEN,05:55.550,NED,05:59.710,NOR,06:01.450,SWE,06:03.120,,,,
2015,2015 World Rowing Championships,"Aiguebelette, FRA",FRA,05:48.500,GER,05:48.810,DEN,05:50.410,GBR,05:54.510,USA,05:55.860,ITA,05:56.600
2014,2014 World Rowing Championships,"Amsterdam, NED",GRE,05:42.750,GER,05:45.650,CHN,05:46.690,ITA,05:46.790,DEN,05:50.310,NED,06:02.390
2014,2014 World Rowing Cup III,"Lucerne, SUI",DEN,06:03.600,GER,06:05.830,HKG1,06:08.790,HKG2,06:14.890,INA,06:17.150,,
2013,2013 World Rowing Championships,"Chungju, KOR",GRE,06:03.440,GER,06:05.550,ITA,06:07.190,DEN,06:09.460,AUS,06:14.760,HKG,06:19.370
2013,2013 World Rowing Cup III,"Lucerne, SUI",GER,05:52.100,DEN,05:54.340,HKG,05:55.120,POR,06:08.820,,,,
2012,2012 World Rowing Championships,"Plovdiv, BUL",POL,05:55.030,GRE,05:56.740,CHN,05:57.120,ITA,05:57.940,GER,05:59.920,AUT,06:00.830
2012,2012 World Rowing Cup III,"Munich, GER",AUT,06:10.130,GER,06:10.430,DEN,06:12.090,NED,06:18.430,,,,
2011,2011 World Rowing Championships,"Bled, SLO",ITA,06:00.950,GER,06:01.080,DEN,06:02.810,IRL,06:03.840,USA,06:09.400,HUN,06:20.070
2011,2011 World Rowing Cup III,"Lucerne, SUI",GER,06:03.190,ITA,06:05.840,DEN,06:07.280,IRL,06:08.660,SUI,06:09.610,NOR,06:18.370
2010,2010 World Rowing Championships,"Karapiro, NZL",GER,06:11.440,FRA,06:14.020,DEN,06:14.940,ITA,06:15.020,BRA,06:19.250,USA,06:31.310
2010,2010 World Rowing Cup III,"Lucerne, SUI",ITA,06:30.060,GER1,06:32.670,FRA,06:32.800,GER2,06:35.120,DEN,06:35.460,IRL,06:42.420
2010,2010 European Championships,"Montemor-o-Velho, POR",ITA,06:19.060,DEN,06:20.850,FRA,06:27.790,GER,06:33.620,,,,
2009,2009 World Rowing Championships,"Poznan, POL",ITA,05:47.500,GER,05:49.890,DEN,05:51.670,FRA,05:51.810,MEX,05:55.510,USA,05:59.650
2009,2009 World Rowing Cup III,"Lucerne, SUI",ITA,06:03.870,FRA,06:05.880,GER,06:09.580,POL,06:26.480,,,,
2009,2009 World Rowing Cup II,"Munich, GER",MEX,06:16.740,AUT,06:22.820,KOR,06:26.160,,,,,,
2008,2008 World Rowing Championships,"Linz Ottensheim, AUT",ITA,05:57.300,FRA,05:57.560,GER,05:59.500,CZE,06:01.840,TUR,06:05.510,USA,06:07.150
2008,2008 World Rowing Cup III,"Poznan, POL",FRA,05:49.930,ITA,05:52.970,GBR,05:56.020,GER,05:58.290,AZE,06:38.890,,
2007,2007 World Rowing Championships,"Munich, GER",ITA,06:01.700,FRA,06:02.940,GBR,06:03.830,GER,06:07.650,DEN,06:09.460,USA,06:11.080
2007,2007 World Rowing Cup III,"Lucerne, SUI",ITA,06:01.180,GER2,06:03.260,GBR,06:04.650,DEN,06:05.800,GER1,06:06.690,AUT,06:11.700
2006,2006 World Rowing Championships,"Eton, GBR",ITA,05:53.830,GER,05:55.370,FRA,05:57.420,GBR,05:58.040,USA,06:09.930,,
2006,2006 World Rowing Cup III,"Lucerne, SUI",ITA,05:57.170,GER2,05:59.300,GER1,06:07.540,SUI,06:10.160,ESP,06:15.540,,
2005,2005 World Rowing Championships,"Gifu, JPN",ITA,05:44.760,BEL,05:46.000,CAN,05:47.860,AUT,05:49.050,FRA,05:51.340,USA,05:54.480
2005,2005 World Rowing Cup III,"Lucerne, SUI",ITA,06:02.210,BEL,06:05.130,AUT,06:06.430,FRA,06:11.600,SUI,06:16.810,DEN,06:17.940
2005,2005 World Rowing Cup II,"Munich, GER",ITA1,06:20.980,FRA,06:31.730,ITA2,06:35.560,,,,,,
2004,2004 World Rowing Championships,"Banyoles, ESP",ITA,05:58.380,CAN,05:58.570,GER,06:01.430,USA,06:04.540,NED,06:06.090,ESP,06:08.690
2004,2004 World Rowing Cup III,"Lucerne, SUI",ITA,05:54.210,GER,05:59.830,NED,06:02.600,IRL,06:05.480,DEN,06:06.060,GBR,06:06.680
2003,2003 World Rowing Championships,"Milan, ITA",ITA,06:07.100,AUS,06:09.360,GER,06:10.840,NED,06:13.260,SUI,06:15.390,USA,06:17.440
2003,2003 World Rowing Cup III,"Lucerne, SUI",ITA,05:51.440,GER,05:53.910,AUS1,05:58.500,NED,05:59.430,SUI,06:01.610,ESP,06:03.120
2003,2003 World Rowing Cup II,"Munich, GER",GER,06:06.390,NED,06:08.600,SUI,06:12.180,ARG,06:18.990,ESP,06:23.200,,
2002,2002 World Rowing Championships,"Seville, ESP",ITA,05:51.890,ESP,05:54.230,NED,05:54.590,GBR,05:55.030,GER,05:57.630,USA,06:01.310
2002,2002 World Rowing Cup III,"Munich, GER",NED,05:55.110,GER1,05:56.760,GBR,05:57.590,ESP,05:58.160,GER2,06:00.360,JPN,06:01.400
2002,2002 World Rowing Cup II,"Lucerne, SUI",ESP,05:58.100,GBR,05:58.770,NED,05:59.000,AUS,05:59.180,FRA,06:12.310,,
2002,2002 World Rowing Cup I,"Hazewinkel, BEL",AUT,00:00.000,ESP,06:05.400,GRE,06:10.900,,,,,,
2001,2001 World Rowing Championships,"Lucerne, SUI",ITA,05:50.760,GRE,05:52.870,JPN,05:54.190,ESP,05:54.630,DEN,05:55.430,GER,05:55.990
