Year,Event,Location,1st Place Time,1st Place Location,2nd Place Time,2nd Place Location,3rd Place Time,3rd Place Location,4th Place Time,4th Place Location,5th Place Time,5th Place Location,6th Place Time,6th Place Location
2018,World Rowing Championships,World Record,06:41.030,GER,,,,,,,,,,
2019,2019 World Rowing Championships,"Linz Ottensheim, AUT",06:59.480,ITA,07:02.370,HUN,07:04.550,AUS,07:05.220,MEX,07:05.390,GBR,07:13.810,CAN
2019,2019 World Rowing Cup III,"Rotterdam, NED",07:53.150,AUS,07:59.180,SLO,08:04.380,IRL1,08:08.150,GER,08:18.330,GBR,08:23.560,SUI
2019,2019 World Rowing Cup II,"Poznan, POL",07:12.770,AUS,07:15.450,POL,07:19.580,HUN,07:23.630,GER1,07:31.610,ITA,07:42.550,CRO
2019,2019 World Rowing Cup I,"Plovdiv, BUL",06:54.550,HUN1,07:01.060,POL2,07:04.890,CRO,07:09.890,SLO,07:17.070,BUL,07:19.550,ESP
2019,2019 European Rowing Championships,"Lucerne, SUI",06:57.000,HUN,06:58.980,POL,07:02.270,ITA,07:06.490,CRO,07:08.790,GBR,07:08.980,SLO
2018,2018 World Rowing Championships,"Plovdiv, BUL",06:56.360,GER,06:58.340,SUI,07:00.040,USA,07:01.800,CAN,07:10.120,CHN,07:13.030,HUN
2018,2018 World Rowing Cup III,"Lucerne, SUI",06:55.880,SUI1,06:58.970,AUS1,06:59.240,GER2,07:03.170,CRO,07:04.850,CHN,07:15.760,AUS2
2018,2018 World Rowing Cup II,"Linz Ottensheim, AUT",06:52.410,GER1,06:55.310,SUI1,06:55.680,ITA,06:56.880,GER2,07:07.260,NZL,07:15.260,SUI2
2018,2018 World Rowing Cup I,"Belgrade, SRB",06:58.430,GER1,07:06.170,SUI2,07:06.480,GER2,07:12.100,NOR,07:12.690,HUN,07:24.710,BEL
2018,2018 European Rowing Championships,"Glasgow, GBR",06:54.930,SUI,06:56.300,ITA,06:57.180,GBR,07:00.210,GER,07:02.800,CRO,07:03.870,HUN
2017,2017 World Rowing Championships,"Sarasota-Bradenton, USA",06:48.870,IRL,06:52.160,NZL,06:52.350,NOR,06:56.370,SUI,07:02.250,GER,07:05.850,BRA
2017,2017 World Rowing Cup III,"Lucerne, SUI",06:54.590,POL,06:56.360,SUI1,06:56.440,HUN,06:58.040,NOR,06:58.210,NZL,07:11.590,SLO
