Year,Event,Location,1st Place Time,1st Place Location,2nd Place Time,2nd Place Location,3rd Place Time,3rd Place Location,4th Place Time,4th Place Location,5th Place Time,5th Place Location,6th Place Time,6th Place Location
2016,World Rowing Cup III,World Record,06:47.690,NED,,,,,,,,,,
2019,2019 World Rowing Championships,"Linz Ottensheim, AUT",07:15.320,NZL,07:19.510,NED,07:21.380,GBR,07:21.730,ROU,07:23.200,FRA,07:31.530,BLR
2019,2019 World Rowing Cup III,"Rotterdam, NED",07:38.450,NZL,07:45.430,NED,07:48.020,SUI,07:48.530,CHN,07:50.450,ROU,07:56.980,GBR
2019,2019 World Rowing Cup II,"Poznan, POL",07:22.090,NZL,07:22.180,ITA,07:23.420,CHN1,07:24.800,FRA,07:26.370,BLR,07:29.280,USA
2019,2019 World Rowing Cup I,"Plovdiv, BUL",07:23.040,CHN1,07:26.970,NED,07:28.140,POL,07:29.780,CHN2,07:31.880,JPN2,07:42.160,CHN3
2019,2019 European Rowing Championships,"Lucerne, SUI",06:58.690,BLR,07:00.290,FRA,07:02.630,SUI,07:03.180,GBR,07:04.050,ROU,07:09.370,ITA
2018,2018 World Rowing Championships,"Plovdiv, BUL",06:50.710,ROU,06:52.300,USA,06:52.560,NED,06:54.800,SUI,06:55.810,GBR,06:57.790,NZL
2018,2018 World Rowing Cup III,"Lucerne, SUI",07:06.400,POL,07:08.400,NZL,07:09.730,SUI,07:11.390,RSA,07:12.120,CAN1,07:13.230,CAN2
2018,2018 World Rowing Cup II,"Linz Ottensheim, AUT",06:54.100,ITA,06:55.630,NED,06:57.020,ROU,06:57.040,SUI,06:57.150,NZL,07:01.920,POL
2018,2018 World Rowing Cup I,"Belgrade, SRB",06:49.270,NED,06:51.300,RSA,06:51.640,GBR1,06:51.960,FRA,06:54.620,SUI,06:56.170,USA1
2018,2018 European Rowing Championships,"Glasgow, GBR",06:57.350,NED,06:58.390,POL,07:00.360,SUI,07:00.580,ROU,07:05.260,ITA,07:08.340,GBR
2017,2017 World Rowing Championships,"Sarasota-Bradenton, USA",06:55.880,ROU,06:56.090,NZL,06:56.380,USA,07:01.070,POL,07:03.270,GBR,07:05.530,DEN
2017,2017 World Rowing Cup III,"Lucerne, SUI",07:00.330,NZL,07:04.970,POL,07:07.340,RUS,07:09.660,SUI,07:10.540,ITA,07:10.990,GBR
