Year,Event,Location,1st Place Time,1st Place Location,2nd Place Time,2nd Place Location,3rd Place Time,3rd Place Location,4th Place Time,4th Place Location,5th Place Time,5th Place Location,6th Place Time,6th Place Location
2014,World Rowing Championships,World Record,06:15.950,NED,,,,,,,,,,
2019,2019 World Rowing Championships,"Linz Ottensheim, AUT",06:34.000,ITA,06:36.310,CHN,06:37.720,GER,06:38.360,USA,06:55.710,VIE,,
2019,2019 World Rowing Cup III,"Rotterdam, NED",07:15.070,CHN,07:24.260,GER,07:30.610,NED,,,,,,
2018,2018 World Rowing Championships,"Plovdiv, BUL",06:28.320,CHN,06:33.330,DEN,06:34.250,GER,06:36.020,USA,06:37.510,GBR,06:39.040,ITA
2017,2017 World Rowing Championships,"Sarasota-Bradenton, USA",06:33.970,ITA,06:35.470,AUS,06:36.330,CHN,06:36.460,CAN,06:47.940,GBR,06:49.620,JPN
2017,2017 World Rowing Cup III,"Lucerne, SUI",06:26.320,AUS,06:29.540,GBR,06:40.940,JPN,,,,,,
2016,2016 World Rowing Championships,"Rotterdam, NED",07:10.600,GBR,07:12.450,GER,07:21.040,CHN,07:23.570,CAN,07:26.240,USA,,
2015,2015 World Rowing Championships,"Aiguebelette, FRA",06:25.100,GER,06:27.070,GBR,06:28.270,NED,06:29.870,AUS,06:34.820,CHN,06:35.890,USA
2014,2014 World Rowing Championships,"Amsterdam, NED",06:15.950,NED,06:19.540,AUS,06:22.790,GER,06:26.300,CHN,06:28.230,ITA,06:29.720,GBR
2013,2013 World Rowing Championships,"Chungju, KOR",06:49.800,NED,06:54.220,USA,06:57.060,ITA,07:01.690,RUS,07:02.330,AUS,07:08.850,KOR
2012,2012 World Rowing Championships,"Plovdiv, BUL",06:36.170,POL,06:37.820,DEN,06:39.130,ITA,06:45.260,USA,06:47.780,AUS,06:49.040,CHN
2012,2012 World Rowing Cup III,"Munich, GER",06:49.480,POL,06:53.530,DEN,06:55.500,ITA,,,,,,
2011,2011 World Rowing Championships,"Bled, SLO",06:28.140,GBR,06:30.410,CHN,06:33.910,USA,06:33.920,ITA,06:36.230,GER,06:38.520,AUS
2011,2011 World Rowing Cup III,"Lucerne, SUI",06:45.720,GER1,06:57.100,GER2,06:58.090,DEN,,,,,,
2010,2010 World Rowing Championships,"Karapiro, NZL",06:44.940,GER,06:47.990,USA,06:49.500,CHN,06:49.840,GBR,06:56.090,ITA,07:36.200,THA
2010,2010 European Championships,"Montemor-o-Velho, POR",07:15.180,ITA,07:21.070,DEN,,,,,,,,
2009,2009 World Rowing Championships,"Poznan, POL",06:32.910,GER,06:35.420,GBR,06:36.880,USA,06:37.360,CAN,06:37.830,POL,,
2009,2009 World Rowing Cup III,"Lucerne, SUI",06:45.100,GER,06:46.410,POL,06:51.710,ITA,06:52.720,DEN,,,,
2009,2009 World Rowing Cup II,"Munich, GER",06:41.130,CHN,06:50.570,SUI,07:13.150,IND,,,,,,
2008,2008 World Rowing Championships,"Linz Ottensheim, AUT",06:36.410,AUS,06:39.380,POL,06:40.770,USA,06:41.560,GBR,06:45.390,GER,06:47.160,DEN
2008,2008 World Rowing Cup III,"Poznan, POL",06:28.440,GBR,06:28.910,POL,06:36.030,GER2,06:37.830,GER1,06:52.930,CZE,,
2007,2007 World Rowing Championships,"Munich, GER",06:35.970,AUS,06:38.780,GBR,06:40.320,CHN,06:41.820,USA,06:42.690,GER,06:48.200,NED
