Year,Event,Location,1st Place Time,1st Place Location,2nd Place Time,2nd Place Location,3rd Place Time,3rd Place Location,4th Place Time,4th Place Location,5th Place Time,5th Place Location,6th Place Time,6th Place Location
2015,World Rowing Cup II,World Record,07:24.460,NZL,,,,,,,,,,
2019,2019 World Rowing Championships,"Linz Ottensheim, AUT",07:43.980,GER,07:47.280,JPN,07:49.820,GBR,07:53.190,RSA,07:53.830,CAN,07:57.740,NED
2019,2019 World Rowing Cup III,"Rotterdam, NED",08:43.590,GBR,08:45.310,AUS,08:50.380,GER,08:57.200,CAN,08:59.440,JPN1,09:02.100,SWE
2019,2019 World Rowing Cup II,"Poznan, POL",08:16.430,CAN,08:17.350,CHN2,08:18.760,AUS,08:21.780,GER,08:22.880,ITA2,08:28.120,CHN1
2019,2019 European Rowing Championships,"Lucerne, SUI",07:32.450,ITA,07:34.170,GER,07:36.590,NED,07:37.110,SUI,07:41.190,RUS,07:46.430,DEN
2018,2018 World Rowing Championships,"Plovdiv, BUL",07:51.790,FRA,07:51.960,ITA,07:52.610,GBR,07:53.700,USA,08:02.390,CAN,13:30.770,BLR
2018,2018 World Rowing Cup II,"Linz Ottensheim, AUT",07:35.250,POL,07:37.370,BLR,07:38.320,ITA,07:39.340,USA2,07:43.750,SWE1,07:47.880,RUS
2018,2018 World Rowing Cup I,"Belgrade, SRB",07:46.150,BLR,07:47.940,CAN,07:48.950,GER1,07:49.380,GBR,07:55.280,CHN3,07:56.220,RUS
2018,2018 European Rowing Championships,"Glasgow, GBR",07:41.600,BLR,07:45.940,FRA,07:47.710,ITA,07:51.250,POL,07:51.570,SWE,00:00.000,GER
2017,2017 World Rowing Championships,"Sarasota-Bradenton, USA",07:38.780,RSA,07:41.000,NED,07:42.450,USA,07:43.380,SUI,07:44.930,SWE,07:49.270,IRL
2017,2017 World Rowing Cup III,"Lucerne, SUI",07:45.750,RSA,07:48.610,NED1,07:50.000,SUI,07:50.040,USA1,07:57.730,SWE,08:04.000,FRA
2017,2017 World Rowing Cup II,"Poznan, POL",07:36.890,NZL,07:37.190,POL1,07:37.200,SUI,07:37.750,SWE1,07:43.070,USA,07:48.910,IRL
