Year,Event,Location,1st Place Time,1st Place Location,2nd Place Time,2nd Place Location,3rd Place Time,3rd Place Location,4th Place Time,4th Place Location,5th Place Time,5th Place Location,6th Place Time,6th Place Location
2017,2017 World Rowing Championships,"Sarasota-Bradenton, USA",06:54.800,HUN,06:56.600,AUS,06:58.370,GER,07:01.610,GBR,07:08.690,ITA,07:13.040,ESP
2017,2017 World Rowing Cup III,"Lucerne, SUI",07:07.390,GER,07:08.820,AUS,07:14.560,ESP,,,,,,
2016,2016 World Rowing Championships,"Rotterdam, NED",07:29.690,GBR,07:32.050,CAN,07:32.220,ITA,07:32.980,NED,07:37.950,USA,07:54.310,ESP
2016,2016 World Rowing Cup III,"Poznan, POL",07:01.790,GBR,07:03.500,TUR,,,,,,,,
2015,2015 World Rowing Championships,"Aiguebelette, FRA",06:51.310,GBR,06:57.360,GER,06:59.530,SRB,07:01.190,RSA,07:02.470,BLR,07:07.570,FRA
2015,2015 World Rowing Cup III,"Lucerne, SUI",07:29.030,GBR,07:38.680,GER,,,,,,,,
2014,2014 World Rowing Championships,"Amsterdam, NED",06:33.260,NZL,06:43.450,GBR,06:45.850,GER,06:47.470,ARG,07:02.400,RSA,07:07.730,NED
2014,2014 World Rowing Cup III,"Lucerne, SUI",07:03.000,GER,07:03.590,GBR,07:15.790,NED,,,,,,
2013,2013 World Rowing Championships,"Chungju, KOR",07:09.150,ITA,07:12.340,GER,07:13.500,FRA,07:16.170,USA,,,,
2012,2012 World Rowing Championships,"Plovdiv, BUL",06:55.330,BLR,06:55.930,FRA,06:56.610,CAN,06:56.890,ITA,07:07.840,GER,07:20.880,USA
2011,2011 World Rowing Championships,"Bled, SLO",06:56.450,ITA,06:58.200,AUS,07:00.760,CAN,07:03.120,GER,07:04.970,CRO,07:07.560,USA
2011,2011 World Rowing Cup III,"Lucerne, SUI",07:14.370,ITA,07:20.720,AUS,,,,,,,,
2010,2010 World Rowing Championships,"Karapiro, NZL",07:03.320,AUS,07:04.380,ITA,07:06.200,GER,07:07.880,USA,,,,
2010,2010 World Rowing Cup III,"Lucerne, SUI",07:26.880,AUS,07:34.510,ITA,,,,,,,,
2010,2010 European Championships,"Montemor-o-Velho, POR",07:45.500,BLR,07:48.790,ITA,07:53.440,CZE,,,,,,
2009,2009 World Rowing Championships,"Poznan, POL",06:53.580,USA,06:54.580,CZE,06:55.440,GER,06:57.550,CAN,06:57.840,FRA,06:57.900,ITA
2009,2009 World Rowing Cup III,"Lucerne, SUI",07:19.170,ITA1,07:25.620,POL,,,,,,,,
2008,2008 World Rowing Championships,"Linz Ottensheim, AUT",07:06.690,CAN,07:08.640,FRA,07:09.300,AUS,07:11.260,ITA,07:17.920,POL,07:18.030,UKR
2007,2007 World Rowing Championships,"Munich, GER",07:00.100,POL,07:01.840,ITA,07:02.940,CAN,07:03.790,AUS,07:05.070,GER,07:05.230,CRO
2006,2006 World Rowing Championships,"Eton, GBR",06:51.270,SCG,06:54.390,ITA,06:55.410,CAN,06:56.910,USA,06:58.570,GER,07:10.950,GRE
2005,2005 World Rowing Championships,"Gifu, JPN",07:16.610,AUS,07:23.220,ITA,07:26.220,USA,,,,,,
2004,2004 World Rowing Championships,"Banyoles, ESP",06:54.460,ITA,06:55.630,POL,06:56.120,DEN,06:58.740,SCG,06:59.480,FRA,07:11.810,ESP
2004,2004 World Rowing Cup III,"Lucerne, SUI",07:08.170,GBR,07:17.620,ITA3,,,,,,,,
2003,2003 World Rowing Championships,"Milan, ITA",07:10.110,USA,07:13.130,AUS,07:20.230,CAN,07:33.350,ITA,07:41.770,EGY,,
2003,2003 World Rowing Cup III,"Lucerne, SUI",07:03.780,ITA1,07:10.160,ITA2,07:43.580,EGY,,,,,,
2002,2002 World Rowing Championships,"Seville, ESP",06:47.930,GER,06:50.600,USA,06:53.770,AUS,06:55.270,ROM,06:57.630,ESP,07:18.350,ITA
2002,2002 World Rowing Cup III,"Munich, GER",00:00.000,ESP,06:59.220,GER,07:02.670,ROM,,,,,,
2001,2001 World Rowing Championships,"Lucerne, SUI",06:49.330,GBR,06:49.750,ITA,06:54.450,ROM,06:56.530,GRE,06:56.540,USA,07:09.990,UKR
