Year,Event,Location,1st Place Time,1st Place Location,2nd Place Time,2nd Place Location,3rd Place Time,3rd Place Location,4th Place Time,4th Place Location,5th Place Time,5th Place Location,6th Place Time,6th Place Location
2014,World Rowing Championships,World Record,05:59.720,CRO,,,,,,,,,,
2018,2018 World Rowing Championships,"Plovdiv, BUL",FRA,06:05.160,SUI,06:06.490,NZL,06:06.710,GBR,06:08.030,GER,06:16.770,ROU,06:18.730
2018,2018 World Rowing Cup III,"Lucerne, SUI",POL,06:18.860,GER,06:19.800,SUI,06:20.150,NZL,06:20.820,FRA1,06:21.000,NED1,06:26.590
2018,2018 World Rowing Cup II,"Linz Ottensheim, AUT",GBR,06:11.240,GER,06:13.710,SUI,06:14.490,NZL,06:14.990,FRA,06:17.920,ITA1,06:22.830
2018,2018 World Rowing Cup I,"Belgrade, SRB",LTU1,06:08.290,GBR,06:09.080,GER,06:10.700,NED1,06:11.260,ROU,06:11.340,NOR,06:16.330
2018,2018 European Rowing Championships,"Glasgow, GBR",FRA,06:10.210,ROU,06:10.710,GBR,06:10.840,POL,06:11.330,SUI,06:18.660,ITA,06:18.830
2017,2017 World Rowing Championships,"Sarasota-Bradenton, USA",NZL,06:10.070,POL,06:10.660,ITA,06:11.330,LTU,06:12.580,NOR,06:15.310,FRA,06:16.360
2017,2017 World Rowing Cup III,"Lucerne, SUI",NZL,06:10.990,POL,06:11.670,ITA,06:13.440,SUI,06:18.340,BLR,06:23.480,ARG,06:36.760
2017,2017 World Rowing Cup II,"Poznan, POL",NZL,06:06.890,NOR,06:10.270,POL,06:11.940,AUS,06:12.230,BUL,06:17.010,ARG,06:22.250
2017,2017 World Rowing Cup I,"Belgrade, SRB",LTU1,06:18.160,SUI,06:18.830,POL,06:21.180,RUS,06:23.460,BLR,06:25.140,BUL,06:29.430
2017,2017 European Rowing Championships,"Racice, CZE",ITA,06:20.920,POL,06:22.100,SUI,06:24.160,GER,06:29.550,BUL,06:31.630,BLR,06:33.460
2016,2016 Olympic Games Regatta,"Rio de Janeiro, BRA",CRO,06:50.280,LTU,06:51.390,NOR,06:53.250,ITA,06:57.100,GBR,07:01.250,FRA,07:02.060
