Year,Event,Location,1st Place Time,1st Place Location,2nd Place Time,2nd Place Location,3rd Place Time,3rd Place Location,4th Place Time,4th Place Location,5th Place Time,5th Place Location,6th Place Time,6th Place Location
2017,World Rowing Cup II,World Record,05:18.680,GER,,,,,,,,,,
2019,2019 World Rowing Championships,"Linz Ottensheim, AUT",05:19.410,GER,05:19.960,NED,05:22.350,GBR,05:22.880,AUS,05:23.920,USA,05:24.470,NZL
2019,2019 World Rowing Cup III,"Rotterdam, NED",05:47.820,GBR,05:50.880,GER,05:53.180,NZL,05:54.370,NED,05:57.020,ROU,06:04.840,AUS
2019,2019 World Rowing Cup II,"Poznan, POL",05:45.830,GER,05:47.740,GBR,05:48.440,CAN,05:49.750,NZL,05:51.580,AUS,05:52.790,ITA
2019,2019 European Rowing Championships,"Lucerne, SUI",05:25.680,GER,05:26.550,GBR,05:27.970,NED,05:31.770,ROU,05:35.260,RUS,05:44.370,ITA
2018,2018 World Rowing Championships,"Plovdiv, BUL",05:24.310,GER,05:26.110,AUS,05:26.140,GBR,05:26.310,USA,05:29.790,ITA,05:30.430,ROU
2018,2018 World Rowing Cup III,"Lucerne, SUI",05:31.810,GER,05:31.950,AUS1,05:33.720,NED1,05:37.410,USA,05:38.170,NZL,05:38.390,CAN
2018,2018 World Rowing Cup II,"Linz Ottensheim, AUT",05:26.880,GER,05:28.180,GBR,05:29.370,NED1,05:29.670,NED2,05:32.630,AUS,05:32.670,ITA
2018,2018 European Rowing Championships,"Glasgow, GBR",05:27.480,GER,05:29.510,NED,05:29.710,ROU,05:31.750,ITA,05:31.950,GBR,05:41.120,RUS
2017,2017 World Rowing Championships,"Sarasota-Bradenton, USA",05:26.850,GER,05:28.450,USA,05:28.900,ITA,05:29.230,NED,05:31.410,ROU,05:34.000,NZL
2017,2017 World Rowing Cup III,"Lucerne, SUI",05:24.310,GER,05:24.800,AUS,05:28.140,NED1,05:29.470,ROU,05:31.070,NED2,05:34.680,GBR
2017,2017 World Rowing Cup II,"Poznan, POL",05:18.680,GER,05:23.200,NZL,05:25.970,GBR,05:29.050,AUS,05:31.800,POL,,
2017,2017 World Rowing Cup I,"Belgrade, SRB",05:30.980,NED,05:31.660,GBR,05:34.040,RUS,05:34.420,POL,,,,
2017,2017 European Rowing Championships,"Racice, CZE",05:28.030,GER,05:30.910,POL,05:31.050,NED,05:32.280,RUS,05:34.290,GBR,05:36.750,ROU
2016,2016 Olympic Games Regatta,"Rio de Janeiro, BRA",05:29.630,GBR,05:30.960,GER,05:31.590,NED,05:34.230,USA,05:34.620,POL,05:36.640,NZL
2016,2016 World Rowing Cup III,"Poznan, POL",05:22.600,GER,05:23.230,GBR,05:29.730,NZL,05:32.370,POL,05:40.790,BLR,,
2016,2016 World Rowing Cup II,"Lucerne, SUI",05:28.560,NED,05:30.300,GER,05:30.540,USA,05:31.470,GBR,05:35.740,NZL,05:37.910,RUS
2016,2016 World Rowing Cup I,"Varese, ITA",05:42.720,NED,05:43.720,ITA1,05:46.440,POL,05:47.580,RUS,05:53.780,ROU,05:58.730,ITA2
2016,2016 European Rowing Championships,"Brandenburg, GER",06:16.650,GER,06:17.430,RUS,06:20.390,GBR,06:20.390,BLR,06:23.140,POL,06:24.670,NED
2015,2015 World Rowing Championships,"Aiguebelette, FRA",05:36.180,GBR,05:36.360,GER,05:38.090,NED,05:38.220,NZL,05:41.680,RUS,05:45.080,ITA
2015,2015 World Rowing Cup III,"Lucerne, SUI",05:33.950,GBR,05:34.030,GER,05:36.740,NZL,05:36.930,NED,05:40.430,AUS,05:42.350,POL
2015,2015 World Rowing Cup II,"Varese, ITA",05:26.930,GBR,05:27.280,GER1,05:29.380,USA,05:30.370,NZL,05:34.770,POL,05:35.460,GER2
2015,2015 World Rowing Cup I,"Bled, SLO",05:35.240,GER1,05:37.340,POL,05:37.460,GER2,05:37.660,FRA,05:53.210,CHN,,
2015,2015 European Rowing Championships,"Poznan, POL",05:24.230,GER,05:26.290,GBR,05:27.340,RUS,05:30.740,POL,05:32.020,FRA,05:33.030,NED
2014,2014 World Rowing Championships,"Amsterdam, NED",05:24.110,GBR,05:24.770,GER,05:26.900,POL,05:29.180,USA,05:31.610,FRA,05:34.930,RUS
2014,2014 World Rowing Cup III,"Lucerne, SUI",05:31.880,GER1,05:33.020,RUS,05:35.360,GBR,05:38.450,POL,05:38.990,NZL,05:39.340,AUS
2014,2014 World Rowing Cup II,"Aiguebelette, FRA",05:41.510,USA,05:43.150,GBR,05:44.030,BLR,05:44.450,FRA,05:48.270,POL,05:53.850,CHN
2014,2014 World Rowing Cup I,"Sydney, AUS",05:35.580,AUS1,05:37.760,NED,05:40.740,NZL,05:48.270,AUS2,05:59.400,CHN,,
2014,2014 European Rowing Championships,"Belgrade, SRB",05:33.950,GER,05:34.990,RUS,05:35.560,GBR,05:35.630,POL,05:41.340,FRA,05:46.250,BLR
2013,2013 World Rowing Championships,"Chungju, KOR",05:30.350,GBR,05:30.890,GER,05:33.920,USA,05:35.590,POL,05:37.110,NED,05:37.190,FRA
2013,2013 World Rowing Cup III,"Lucerne, SUI",05:22.260,USA,05:22.640,GER,05:25.650,NED,05:26.110,GBR1,05:31.310,FRA,05:31.400,POL
2013,2013 World Rowing Cup II,"Eton, GBR",05:25.930,GBR1,05:26.360,POL,05:29.540,FRA,05:29.760,GBR2,05:31.640,CZE,,
2013,2013 World Rowing Cup I,"Sydney, AUS",05:29.900,GBR,05:31.730,USA,05:35.050,AUS1,05:35.500,NZL,05:46.380,AUS2,,
2013,2013 European Championships,"Seville, ESP",05:59.000,GER,06:00.310,POL,06:00.930,NED,06:02.970,FRA,06:04.330,BLR,06:07.010,CZE
2012,2012 Olympic Games,"London, GBR",05:48.750,GER,05:49.980,CAN,05:51.180,GBR,05:51.480,USA,05:51.720,NED,05:51.870,AUS
