Year,Event,Location,1st Place Time,1st Place Location,2nd Place Time,2nd Place Location,3rd Place Time,3rd Place Location,4th Place Time,4th Place Location,5th Place Time,5th Place Location,6th Place Time,6th Place Location
2012,"World Rowing Cup II - Rotsee/Lucerne, Switzerland",World Record,05:37.860,GBR,,,,,,,,,,
2019,2019 World Rowing Championships,"Linz Ottensheim, AUT",06:09.860,POL,06:11.410,ROU,06:11.710,GBR,06:13.390,ITA,06:13.400,USA,06:15.980,AUS
2019,2019 World Rowing Cup III,"Rotterdam, NED",06:11.770,AUS,06:14.650,GBR1,06:15.940,GER,06:22.140,DEN,06:30.120,ROU1,06:30.240,POL
2019,2019 World Rowing Cup II,"Poznan, POL",06:16.460,AUS,06:18.590,ITA,06:19.600,POL,06:21.530,GBR1,06:25.040,USA2,06:26.990,RSA
2019,2019 World Rowing Cup I,"Plovdiv, BUL",06:08.400,POL1,06:10.700,ROU3,06:14.110,AUT,06:16.600,CRO,06:24.560,ESP,06:28.980,CHN
2019,2019 European Rowing Championships,"Lucerne, SUI",05:51.010,GBR,05:53.900,POL,05:56.080,GER,05:57.430,UKR,05:59.330,ITA,06:02.360,BLR
2018,2018 World Rowing Championships,"Plovdiv, BUL",05:44.740,AUS,05:44.990,ITA,05:46.460,GBR,05:47.780,NED,05:50.710,ROU,05:55.320,GER
2018,2018 World Rowing Cup III,"Lucerne, SUI",05:51.400,AUS1,05:55.140,NED,05:58.520,RSA,06:00.710,GBR,06:01.880,RUS1,06:02.860,GER
2018,2018 World Rowing Cup II,"Linz Ottensheim, AUT",05:50.700,AUS,05:53.760,ROU,05:56.600,GER,05:57.980,GBR2,05:58.790,GBR1,06:08.430,POL
2018,2018 World Rowing Cup I,"Belgrade, SRB",05:51.050,NED2,05:52.410,NED1,05:52.420,BLR,05:53.230,GER,05:54.560,GBR2,05:57.090,AUT
2018,2018 European Rowing Championships,"Glasgow, GBR",05:54.340,ROU,05:55.710,GBR,05:56.490,FRA,05:59.250,ITA,06:00.310,NED,06:08.340,CZE
2017,2017 World Rowing Championships,"Sarasota-Bradenton, USA",05:55.240,AUS,05:57.190,ITA,05:57.990,GBR,05:58.530,NED,06:05.050,DEN,06:10.260,GER
2017,2017 World Rowing Cup III,"Lucerne, SUI",05:52.920,GBR1,05:54.420,ITA,05:54.720,NED1,05:54.770,RSA,05:56.290,ESP,06:00.760,FRA
2017,2017 World Rowing Cup II,"Poznan, POL",05:44.340,AUS,05:45.570,GBR,05:55.250,GER,06:02.920,FRA,06:07.040,CZE,06:08.380,ARG
2017,2017 World Rowing Cup I,"Belgrade, SRB",06:09.980,GBR,06:11.040,NED2,06:13.210,ESP,06:14.180,NED1,06:15.800,RUS1,06:15.970,RUS2
2017,2017 European Rowing Championships,"Racice, CZE",05:54.520,ITA,05:56.070,ROU,05:56.860,RUS,05:59.130,FRA,05:59.970,GBR,06:06.190,NED
2016,2016 Olympic Games Regatta,"Rio de Janeiro, BRA",05:58.610,GBR,06:00.440,AUS,06:03.850,ITA,06:05.800,RSA,06:08.380,NED,06:15.930,CAN
2016,2016 World Rowing Cup III,"Poznan, POL",05:42.790,GBR,05:45.400,ITA,05:45.530,AUS,05:54.850,GER,05:57.150,BLR1,06:04.860,ROU
2016,2016 World Rowing Cup II,"Lucerne, SUI",05:55.480,GBR,05:55.750,AUS,05:58.290,NED,06:00.420,USA,06:03.380,RUS,06:12.190,GRE
2016,2016 World Rowing Cup I,"Varese, ITA",06:09.880,USA,06:10.160,ITA1,06:10.890,NED,06:11.970,CAN,06:13.890,RUS,06:22.840,RSA
2016,2016 European Rowing Championships,"Brandenburg, GER",06:18.930,GBR,06:20.910,BLR,06:21.550,FRA,06:21.810,RUS,06:27.220,GRE,06:31.900,DEN
2015,2015 World Rowing Championships,"Aiguebelette, FRA",05:46.780,ITA,05:48.740,AUS,05:49.000,GBR,05:50.120,CAN,05:53.010,GER,05:55.260,NED
2015,2015 World Rowing Cup III,"Lucerne, SUI",05:55.320,AUS,05:56.040,ITA1,05:57.140,ROU,06:01.520,NED,06:04.130,ESP,06:06.500,SRB
2015,2015 World Rowing Cup II,"Varese, ITA",05:51.870,USA,05:52.480,ITA1,05:52.520,CAN,05:55.680,AUS,05:58.260,GBR,05:58.350,GER
2015,2015 World Rowing Cup I,"Bled, SLO",06:04.900,BLR,06:07.390,ESP,06:07.630,SRB,06:10.330,FRA,06:13.000,GER,06:28.380,POL
