Year,Event,Location,1st Place Time,1st Place Location,2nd Place Time,2nd Place Location,3rd Place Time,3rd Place Location,4th Place Time,4th Place Location,5th Place Time,5th Place Location,6th Place Time,6th Place Location
2012,"Olympic Games - Dorney Lake Eton/London, Great Britain",World Record,06:08.500,NZL,,,,,,,,,,
2019,2019 World Rowing Championships,"Linz Ottensheim, AUT",06:42.280,CRO,06:45.470,NZL,06:51.810,AUS,06:55.340,ITA,06:57.400,ESP,07:02.050,FRA
2019,2019 World Rowing Cup III,"Rotterdam, NED",06:54.210,AUS1,06:56.480,CZE,06:59.690,NZL1,07:02.130,GBR1,07:02.990,ROU,07:08.500,GBR2
2019,2019 World Rowing Cup II,"Poznan, POL",06:38.230,AUS,06:39.490,NZL1,06:43.340,CAN1,06:49.740,SRB,06:52.570,GBR1,06:58.580,ITA
2019,2019 World Rowing Cup I,"Plovdiv, BUL",06:34.050,SRB1,06:36.030,CRO,06:37.500,ESP,06:43.560,SRB3,06:49.300,BLR,06:59.930,CUB
2019,2019 European Rowing Championships,"Lucerne, SUI",06:22.460,CRO,06:24.530,ROU,06:26.310,ESP,06:32.350,ITA,06:32.440,CZE,06:32.790,SRB
2018,2018 World Rowing Championships,"Plovdiv, BUL",06:14.960,CRO,06:16.900,ROU,06:17.510,FRA,06:21.280,CAN,06:21.540,NZL,06:25.120,ESP
2018,2018 World Rowing Cup III,"Lucerne, SUI",06:32.930,NZL1,06:33.580,FRA1,06:33.640,CZE,06:38.540,ESP1,06:42.770,GBR1,06:42.830,SRB
2018,2018 World Rowing Cup II,"Linz Ottensheim, AUT",06:27.550,CZE,06:28.430,CRO1,06:29.440,FRA1,06:38.860,BLR,06:42.750,GBR2,06:44.150,HUN
2018,2018 World Rowing Cup I,"Belgrade, SRB",06:19.370,CRO,06:20.990,CZE,06:23.360,BLR,06:25.350,ROU,06:26.310,ESP,06:31.350,RSA1
2018,2018 European Rowing Championships,"Glasgow, GBR",06:26.420,CRO,06:27.400,FRA,06:29.390,ROU,06:30.740,SRB,06:42.350,ITA,06:58.300,BLR
2017,2017 World Rowing Championships,"Sarasota-Bradenton, USA",06:16.220,ITA,06:16.560,CRO,06:20.850,NZL,06:26.260,FRA,06:31.190,GBR,06:37.890,SRB
2017,2017 World Rowing Cup III,"Lucerne, SUI",06:34.500,NZL1,06:35.670,CRO,06:40.510,FRA1,06:48.300,ROU1,06:52.620,NED,06:56.220,ESP
2017,2017 World Rowing Cup II,"Poznan, POL",06:21.190,FRA1,06:22.400,SRB,06:23.100,CZE1,06:23.810,NED,06:28.960,TUR,06:31.340,FRA2
2017,2017 World Rowing Cup I,"Belgrade, SRB",07:00.250,GBR1,07:02.770,SRB,07:05.570,CZE,07:09.050,BLR1,07:11.190,NED,07:14.810,BLR2
2017,2017 European Rowing Championships,"Racice, CZE",06:22.580,ITA,06:25.960,FRA,06:27.680,SRB,06:29.210,CZE,06:30.460,GBR,06:30.570,NED
