Year,Event,Location,1st Place Time,1st Place Location,2nd Place Time,2nd Place Location,3rd Place Time,3rd Place Location,4th Place Time,4th Place Location,5th Place Time,5th Place Location,6th Place Time,6th Place Location
2014,World Rowing Championships,World Record,05:32.260,UKR,,,,,,,,,,
2019,2019 World Rowing Championships,"Linz Ottensheim, AUT",05:51.750,NED,05:55.590,POL,05:56.110,ITA,06:01.030,AUS,06:04.310,GER,06:19.050,CHN
2019,2019 World Rowing Cup III,"Rotterdam, NED",06:00.800,POL,06:01.910,GER,06:02.000,NED,06:05.510,AUS,06:06.320,RUS,06:09.310,GBR
2019,2019 World Rowing Cup II,"Poznan, POL",06:01.010,POL,06:03.210,AUS,06:03.480,NZL,06:03.500,GER,06:07.670,GBR,06:20.180,CHN
2019,2019 World Rowing Cup I,"Plovdiv, BUL",06:01.260,POL,06:10.520,MDA,06:10.730,ROU,06:16.890,MEX,06:20.120,AUT,,
2019,2019 European Rowing Championships,"Lucerne, SUI",05:35.750,NED,05:40.190,ITA,05:41.890,GBR,05:43.110,GER,05:43.250,NOR,05:43.970,UKR
2018,2018 World Rowing Championships,"Plovdiv, BUL",05:35.310,ITA,05:36.510,AUS,05:37.280,UKR,05:37.390,NZL,05:37.910,NED,05:39.430,POL
2018,2018 World Rowing Cup III,"Lucerne, SUI",05:44.250,GBR,05:44.990,NED,05:45.330,POL,05:47.660,GER,05:48.430,AUS1,05:48.820,LTU
2018,2018 World Rowing Cup II,"Linz Ottensheim, AUT",05:40.280,ITA,05:42.040,NED,05:42.520,GER,05:43.300,AUS,05:45.790,NZL,05:46.690,POL
2018,2018 World Rowing Cup I,"Belgrade, SRB",05:38.860,GBR,05:39.130,GER,05:41.650,NOR,05:42.490,POL,05:45.510,NED,05:46.450,RUS
2018,2018 European Rowing Championships,"Glasgow, GBR",05:41.920,ITA,05:43.400,LTU,05:43.880,POL,05:43.900,UKR,05:47.310,NED,05:50.270,GBR
