Year,Event,Location,1st Place Time,1st Place Location,2nd Place Time,2nd Place Location,3rd Place Time,3rd Place Location,4th Place Time,4th Place Location,5th Place Time,5th Place Location,6th Place Time,6th Place Location
2017,World Rowing Cup II,World Record,06:30.740,NZL,,,,,,,,,,
2019,2019 World Rowing Championships,"Linz Ottensheim, AUT",06:44.550,GER,06:44.580,DEN,06:44.840,NOR,06:45.240,LTU,06:45.580,NED,06:47.930,CZE
2019,2019 World Rowing Cup III,"Rotterdam, NED",07:24.510,DEN,07:24.930,NOR,07:30.940,CRO,07:33.900,CZE,07:34.110,NZL1,07:37.500,POL
2019,2019 World Rowing Cup II,"Poznan, POL",07:21.960,DEN,07:24.100,BLR,07:24.790,CUB,07:26.090,GBR1,07:27.120,GER,07:27.310,NOR
2019,2019 World Rowing Cup I,"Plovdiv, BUL",07:26.900,CRO,07:33.040,BLR,07:37.290,FIN1,07:40.450,BEL,07:41.200,AZE,07:46.680,BUL
2019,2019 European Rowing Championships,"Lucerne, SUI",06:47.320,GER,06:47.510,NED,06:47.720,BLR,06:48.060,DEN,06:55.590,CRO,07:11.280,CZE
2018,2018 World Rowing Championships,"Plovdiv, BUL",06:38.310,NOR,06:39.920,CZE,06:42.900,LTU,06:45.020,GBR,06:46.110,NZL,06:50.710,GER
2018,2018 World Rowing Cup III,"Lucerne, SUI",06:55.300,NZL1,06:59.450,GER2,07:00.720,CZE,07:02.130,NZL2,07:09.550,SUI1,07:12.160,GER1
2018,2018 World Rowing Cup II,"Linz Ottensheim, AUT",06:44.960,NZL1,06:46.200,GER2,06:47.270,GER1,06:51.690,NOR,06:52.240,DEN,06:59.850,CUB
2018,2018 World Rowing Cup I,"Belgrade, SRB",06:44.820,CZE,06:45.590,SUI2,06:46.230,GER2,06:52.720,DEN,06:54.370,SRB2,06:55.070,CUB
2018,2018 European Rowing Championships,"Glasgow, GBR",06:49.950,NOR,06:50.680,LTU,06:52.060,SUI,06:53.530,POL,06:53.540,SRB,07:00.500,RUS
