Year,Event,Location,1st Place Time,1st Place Location,2nd Place Time,2nd Place Location,3rd Place Time,3rd Place Location,4th Place Time,4th Place Location,5th Place Time,5th Place Location,6th Place Time,6th Place Location
2014,World Rowing Championships,World Record,06:37.310,AUS,,,,,,,,,,
2019,2019 World Rowing Championships,"Linz Ottensheim, AUT",06:47.170,NZL,06:48.550,ROU,06:49.220,NED,06:49.850,CAN,06:49.860,USA,06:52.090,FRA
2019,2019 World Rowing Cup III,"Rotterdam, NED",07:58.390,ROU,07:59.110,AUS,08:03.770,CAN,08:07.780,CZE,08:15.340,GER1,08:18.150,USA
2019,2019 World Rowing Cup II,"Poznan, POL",07:21.280,NZL1,07:21.550,USA1,07:23.940,AUS,07:24.850,USA2,07:29.170,CHN1,07:29.660,GER2
2019,2019 World Rowing Cup I,"Plovdiv, BUL",07:14.460,CHN1,07:17.970,BLR,07:21.990,CUB,07:25.050,POL,07:35.250,HUN,07:45.240,CHN2
2019,2019 European Rowing Championships,"Lucerne, SUI",06:49.230,GER,06:50.560,ROU,06:51.380,ITA,06:53.910,BLR,06:56.950,LTU,07:01.740,GRE
2018,2018 World Rowing Championships,"Plovdiv, BUL",06:44.150,LTU,06:46.280,NZL,06:47.750,USA,06:51.590,GBR,06:52.690,NED,06:56.010,CAN
2018,2018 World Rowing Cup III,"Lucerne, SUI",06:50.120,NZL,06:52.800,CAN,06:53.040,USA,06:56.060,NED,06:58.450,LTU,07:02.500,FRA
2018,2018 World Rowing Cup II,"Linz Ottensheim, AUT",06:52.300,NZL,06:54.750,NED,06:58.200,GER2,07:03.250,GRE,07:03.540,SUI,07:06.330,GER1
2018,2018 World Rowing Cup I,"Belgrade, SRB",06:47.690,NED,06:49.970,GER,06:50.950,LTU,06:53.550,CHN1,06:53.590,BLR1,07:02.640,BLR2
2018,2018 European Rowing Championships,"Glasgow, GBR",06:55.990,FRA,06:56.290,NED,06:56.540,LTU,06:56.600,ITA,07:03.290,CZE,07:05.420,POL
2017,2017 World Rowing Championships,"Sarasota-Bradenton, USA",06:45.080,NZL,06:46.570,USA,06:49.760,AUS,06:51.300,LTU,06:52.860,CHN,06:54.650,FRA
2017,2017 World Rowing Cup III,"Lucerne, SUI",06:50.200,NZL,06:51.860,FRA1,06:55.160,FRA2,06:56.590,AUS,06:57.850,LTU,06:59.600,USA
2017,2017 World Rowing Cup II,"Poznan, POL",06:39.130,NZL,06:41.340,CHN2,06:45.820,AUS,06:49.160,CZE,06:51.760,GER1,06:55.020,NOR
2017,2017 World Rowing Cup I,"Belgrade, SRB",07:00.190,NED3,07:00.960,NED1,07:06.110,CZE,07:11.280,SUI,07:12.710,BLR,07:13.150,NED2
2017,2017 European Rowing Championships,"Racice, CZE",07:04.750,CZE,07:06.240,NED,07:07.790,ITA,07:10.090,GER,07:11.190,POL,07:15.300,NOR
2016,2016 Olympic Games Regatta,"Rio de Janeiro, BRA",07:40.100,POL,07:41.050,GBR,07:43.760,LTU,07:48.620,GRE,07:52.030,FRA,08:06.180,USA
2016,2016 World Rowing Cup III,"Poznan, POL",06:47.750,POL,06:50.610,NZL,06:51.940,FRA,06:53.680,BLR1,06:54.830,GBR,06:57.300,AUS
2016,2016 World Rowing Cup II,"Lucerne, SUI",06:52.070,LTU,06:52.760,AUS,06:54.840,GRE,06:55.310,GER,06:58.590,FRA,07:00.910,NZL
2016,2016 World Rowing Cup I,"Varese, ITA",07:19.820,POL,07:21.360,NED,07:25.470,DEN,07:26.890,FIN,07:26.910,ITA1,07:40.290,CHN
2016,2016 European Rowing Championships,"Brandenburg, GER",08:25.910,BLR,08:28.300,GER,08:31.940,CZE,08:36.630,GBR,08:36.850,LTU,08:53.710,NED
2015,2015 World Rowing Championships,"Aiguebelette, FRA",06:45.090,NZL,06:46.510,GRE,06:47.190,GER,06:47.910,POL,06:48.640,LTU,06:49.410,GBR
2015,2015 World Rowing Cup III,"Lucerne, SUI",06:53.900,NZL,06:54.620,AUS,06:55.270,BLR,06:58.980,GER,07:02.010,GRE,07:03.100,FRA
2015,2015 World Rowing Cup II,"Varese, ITA",06:53.210,NZL,06:53.350,USA,06:55.670,GBR,06:56.120,POL,06:56.320,AUS,06:56.590,GER
2015,2015 World Rowing Cup I,"Bled, SLO",07:02.840,POL,07:04.460,GER1,07:07.530,CHN1,07:12.760,GER2,07:15.300,CZE,07:16.670,CHN2
2015,2015 European Rowing Championships,"Poznan, POL",06:55.580,POL,06:57.080,LTU,06:59.630,GBR,07:02.550,GER,07:04.880,BLR,07:07.810,UKR
2014,2014 World Rowing Championships,"Amsterdam, NED",06:38.040,NZL,06:39.360,POL,06:41.710,AUS,06:44.060,LTU,06:46.660,CHN,06:47.280,USA
2014,2014 World Rowing Cup III,"Lucerne, SUI",06:59.870,NZL,07:00.480,LTU,07:00.760,POL,07:03.110,AUS,07:03.330,USA,07:08.200,BLR1
2014,2014 World Rowing Cup II,"Aiguebelette, FRA",06:53.900,AUS,06:55.330,USA,06:56.530,POL,06:57.660,NED,06:59.250,GBR,07:01.300,BLR
2014,2014 World Rowing Cup I,"Sydney, AUS",06:54.690,AUS1,06:57.070,LTU,06:59.690,GER2,07:01.750,GER1,07:11.230,CAN,07:16.790,DEN
2014,2014 European Rowing Championships,"Belgrade, SRB",00:00.000,RUS,06:52.150,POL,06:52.590,LTU,06:56.600,NED,06:59.460,GER,06:59.850,GBR
2013,2013 World Rowing Championships,"Chungju, KOR",06:51.820,LTU,06:51.860,NZL,06:55.900,BLR,06:58.670,GBR,07:00.660,GER,07:04.720,DEN
2013,2013 World Rowing Cup III,"Lucerne, SUI",06:42.440,LTU,06:42.460,NZL,06:45.290,USA1,06:46.390,BLR,06:48.000,GBR,06:53.020,USA2
2013,2013 World Rowing Cup II,"Eton, GBR",06:52.600,GBR,06:53.410,DEN,06:57.810,CHN2,06:58.110,GER,07:01.320,FIN,07:06.690,IRL
2013,2013 World Rowing Cup I,"Sydney, AUS",06:56.930,NZL,06:59.290,CHN1,07:02.100,GBR2,07:05.540,GBR1,07:06.600,USA1,07:13.970,AUS
2013,2013 European Championships,"Seville, ESP",07:21.870,LTU,07:28.340,POL,07:31.940,BLR,07:36.520,GER,07:45.600,CZE,07:51.390,ROU
2012,2012 Olympic Games,"London, GBR",06:55.820,GBR,06:58.550,AUS,07:07.920,POL,07:08.920,CHN,07:09.820,NZL,07:10.540,USA
2012,2012 World Rowing Cup III,"Munich, GER",07:09.900,GBR,07:11.920,AUS,07:19.070,POL,07:19.600,NZL2,07:25.750,NZL1,07:31.730,UKR
2012,2012 World Rowing Cup II,"Lucerne, SUI",06:52.520,GBR,06:55.000,POL,06:55.420,GER1,06:56.920,CZE,07:00.450,NZL1,07:03.340,CHN2
2012,2012 World Rowing Cup I,"Belgrade, SRB",06:50.350,GBR,06:51.030,GER,06:53.900,CZE,07:01.220,CHN1,07:04.930,CHN2,07:07.130,NED
2012,2012 European Championships,"Varese, ITA",06:58.940,BLR,07:02.200,ITA,07:03.670,ROU,07:04.380,ESP,07:04.610,DEN,07:08.080,POL
2011,2011 World Rowing Championships,"Bled, SLO",06:44.730,GBR,06:45.980,AUS,06:46.740,NZL,06:49.640,UKR,06:54.220,POL,07:04.060,CZE
2011,2011 World Rowing Cup III,"Lucerne, SUI",06:54.340,GBR1,06:55.750,AUS,06:58.920,UKR1,07:03.490,POL,07:06.890,CZE,07:09.160,NZL
2011,2011 World Rowing Cup II,"Hamburg, GER",07:00.920,POL,07:03.740,GER1,07:05.050,BLR1,07:08.400,GER3,07:09.420,GER2,07:18.510,AUT
2011,2011 World Rowing Cup I,"Munich, GER",06:57.520,GBR,07:00.260,USA,07:05.350,BLR1,07:09.250,ROU,07:11.100,IRL,07:19.070,AUT
2011,2011 European Championships,"Plovdiv, BUL",07:06.170,UKR,07:08.270,SRB,07:11.310,CZE,07:17.110,ITA,07:17.760,DEN,07:20.730,BLR
2010,2010 World Rowing Championships,"Karapiro, NZL",07:04.700,GBR,07:10.080,AUS,07:14.400,POL,07:15.040,CZE,07:16.990,USA,07:21.600,GER
2010,2010 World Rowing Cup III,"Lucerne, SUI",06:50.530,GBR1,06:52.600,AUS,06:57.390,USA1,06:57.770,CZE,06:59.400,USA2,07:05.190,GER
2010,2010 World Rowing Cup II,"Munich, GER",07:02.390,GBR1,07:04.750,CZE,07:05.480,GER1,07:10.560,CHN,07:16.740,UKR,07:24.320,BLR
2010,2010 World Rowing Cup I,"Bled, SLO",07:06.140,GBR1,07:07.200,CHN1,07:09.440,USA,07:11.910,CZE,07:20.650,CHN2,07:31.620,FRA1
