Year,Event,Location,1st Place Time,1st Place Location,2nd Place Time,2nd Place Location,3rd Place Time,3rd Place Location,4th Place Time,4th Place Location,5th Place Time,5th Place Location,6th Place Time,6th Place Location
2013,"World Rowing Cup III - Rotsee/Lucerne, Switzerland",World Record,05:54.160,USA,,,,,,,,,,
2018,2018 World Rowing Championships,"Plovdiv, BUL",USA,06:00.970,CAN,06:03.050,AUS,06:03.860,NED,06:06.480,ROU,06:07.990,GBR,06:11.880
2018,2018 World Rowing Cup III,"Lucerne, SUI",NZL,06:06.170,CAN,06:08.110,USA,06:09.170,NED,06:11.370,AUS1,06:15.250,CHN,06:18.060
2017,2017 World Rowing Championships,"Sarasota-Bradenton, USA",ROU,06:06.400,CAN,06:07.090,NZL,06:07.270,USA,06:09.250,GBR,06:09.960,NED,06:10.830
2017,2017 World Rowing Cup III,"Lucerne, SUI",ROU,06:02.810,NZL,06:04.830,GBR,06:10.340,NED,06:16.340,,,,
2017,2017 World Rowing Cup II,"Poznan, POL",NZL,06:01.270,GBR,06:02.310,USA,06:04.050,CHN1,06:11.700,CHN2,06:21.780,,
2017,2017 European Rowing Championships,"Racice, CZE",ROU,06:10.350,NED,06:12.860,RUS,06:16.050,GBR,06:18.510,BLR,06:34.970,,
2016,2016 Olympic Games Regatta,"Rio de Janeiro, BRA",USA,06:01.490,GBR,06:03.980,ROU,06:04.100,NZL,06:05.480,CAN,06:06.040,NED,06:08.370
2016,2016 World Rowing Cup III,"Poznan, POL",NZL,06:06.270,GBR,06:08.250,NED,06:12.040,,,,,,
2016,2016 World Rowing Cup II,"Lucerne, SUI",USA,06:01.120,GBR,06:01.950,NZL,06:04.010,CAN,06:11.100,RUS,06:11.650,,
2016,2016 World Rowing Cup I,"Varese, ITA",NED,06:22.380,CAN,06:22.620,RUS,06:24.050,GER,06:33.760,,,,
2016,2016 European Rowing Championships,"Brandenburg, GER",GBR,06:51.460,NED,06:51.830,RUS,06:55.430,ROU,06:58.260,GER,07:02.660,BLR,07:17.690
2015,2015 World Rowing Championships,"Aiguebelette, FRA",USA,06:05.650,NZL,06:08.520,CAN,06:09.050,GBR,06:10.110,RUS,06:11.490,NED,06:12.330
2015,2015 World Rowing Cup III,"Lucerne, SUI",CAN,06:07.770,NZL,06:09.110,GBR,06:10.460,ROU,06:11.740,NED,06:15.550,AUS,06:15.950
2015,2015 World Rowing Cup II,"Varese, ITA",USA,06:03.270,CAN,06:05.530,GBR,06:08.660,CHN,06:13.070,NZL,06:13.120,AUS,06:18.800
2015,2015 European Rowing Championships,"Poznan, POL",RUS,06:08.060,NED,06:09.700,ROU,06:12.990,GER,06:15.520,GBR,06:18.190,BLR,06:25.310
2014,2014 World Rowing Championships,"Amsterdam, NED",USA,05:56.830,CAN,05:59.660,CHN,06:00.520,ROU,06:02.840,RUS,06:06.510,GBR,06:08.570
2014,2014 World Rowing Cup III,"Lucerne, SUI",CAN,06:10.530,ROU,06:14.500,GBR,06:14.740,GER,06:18.320,NED,06:20.230,AUS,06:21.350
2014,2014 World Rowing Cup II,"Aiguebelette, FRA",USA,06:04.770,CAN,06:05.820,GBR,06:11.390,CHN,06:11.510,GER,06:17.300,,
2014,2014 European Rowing Championships,"Belgrade, SRB",ROU,06:16.640,GBR,06:18.320,GER,06:19.970,NED,06:21.520,UKR,06:27.470,FRA,06:32.490
2013,2013 World Rowing Championships,"Chungju, KOR",USA,06:02.140,ROU,06:07.040,CAN,06:09.340,GBR,06:11.800,AUS,06:12.300,NED,06:18.600
2013,2013 World Rowing Cup III,"Lucerne, SUI",USA,05:54.160,ROU,06:00.420,CAN,06:01.610,GBR,06:04.840,GER,06:08.230,NZL,06:14.260
2013,2013 World Rowing Cup I,"Sydney, AUS",AUS,06:06.980,USA,06:07.830,CAN,06:10.470,GBR,06:11.330,NZL,06:17.380,CHN1,06:20.430
2013,2013 European Championships,"Seville, ESP",ROU,06:41.830,GER,06:50.200,RUS,06:53.320,BLR,06:58.700,ITA,07:04.900,,
2012,2012 Olympic Games,"London, GBR",USA,06:10.590,CAN,06:12.060,NED,06:13.120,ROU,06:17.640,GBR,06:18.770,AUS,06:18.860
2012,2012 World Rowing Cup III,"Munich, GER",CAN,06:19.310,ROU,06:20.720,GBR,06:22.310,NED,06:22.680,AUS,06:24.480,GER,06:34.690
2012,2012 World Rowing Cup II,"Lucerne, SUI",USA,05:59.260,CAN,05:59.290,NED,06:03.200,AUS,06:06.790,GBR,06:06.860,GER,06:16.030
2012,2012 World Rowing Cup I,"Belgrade, SRB",NED,06:06.060,ROU,06:08.700,GBR,06:11.180,UKR,06:13.380,,,,
2012,2012 European Championships,"Varese, ITA",ROU,06:06.940,ITA,06:17.660,GBR,06:18.310,BLR,06:18.550,UKR,06:20.950,RUS,06:21.860
2011,2011 World Rowing Championships,"Bled, SLO",USA,06:03.650,CAN,06:04.390,GBR,06:06.030,ROU,06:06.740,NED,06:09.940,CHN,06:16.450
2011,2011 World Rowing Cup III,"Lucerne, SUI",USA,06:28.350,CAN,06:29.410,NED,06:31.730,GBR,06:33.340,ROU,06:37.570,GER,06:38.810
2011,2011 World Rowing Cup II,"Hamburg, GER",GER,06:18.660,CHN,06:24.410,POL,06:34.900,,,,,,
2011,2011 World Rowing Cup I,"Munich, GER",NED,06:07.770,GBR,06:09.020,ROU,06:11.460,UKR,06:17.480,CHN,06:18.800,POL,06:27.820
2011,2011 European Championships,"Plovdiv, BUL",ROU,06:14.980,BLR,06:20.520,UKR,06:23.820,GBR,06:26.040,RUS,06:26.540,POL,06:43.610
2010,2010 World Rowing Championships,"Karapiro, NZL",USA,06:12.420,CAN,06:16.120,ROU,06:18.960,GBR,06:20.840,NED,06:20.850,CHN,06:31.860
2010,2010 World Rowing Cup III,"Lucerne, SUI",USA,06:12.190,CAN,06:12.390,GBR,06:17.350,NED,06:22.310,CHN,06:23.420,GER,06:23.690
2010,2010 World Rowing Cup II,"Munich, GER",ROU,06:21.890,GBR,06:24.500,GER,06:25.320,CHN,06:27.210,POL,06:40.930,,
2010,2010 World Rowing Cup I,"Bled, SLO",GBR,06:17.980,NED,06:19.140,CHN,06:20.650,RUS,06:25.530,POL,06:25.670,,
2010,2010 European Championships,"Montemor-o-Velho, POR",ROU,06:36.450,NED,06:39.350,GER,06:41.510,UKR,06:44.030,RUS,06:44.910,BLR,06:52.940
2009,2009 World Rowing Championships,"Poznan, POL",USA,06:05.340,ROU,06:06.940,NED,06:07.430,GER,06:08.620,GBR,06:12.660,CAN,06:16.680
2009,2009 World Rowing Cup III,"Lucerne, SUI",ROU,06:10.760,USA,06:13.180,NED,06:13.490,GER,06:17.820,CHN,06:20.550,BLR,06:27.960
2009,2009 World Rowing Cup II,"Munich, GER",GER,06:27.730,CHN2,06:28.270,ROU,06:29.650,CHN1,06:34.900,GBR,06:35.300,,
2009,2009 World Rowing Cup I,"Banyoles, ESP",GBR,07:10.420,POL,07:27.030,,,,,,,,
2009,2009 European Championships,"Brest, BLR",ROU,06:21.520,BLR,06:26.020,UKR,06:27.370,RUS,06:32.350,POL,06:36.400,FRA,06:36.750
2008,2008 Olympic Games,"Beijing, CHN",USA,06:05.340,NED,06:07.220,ROU,06:07.250,CAN,06:08.040,GBR,06:13.740,AUS,06:14.220
2008,2008 World Rowing Cup III,"Poznan, POL",ROU,06:22.740,CAN,06:22.750,GBR,06:23.770,GER,06:24.740,,,,
2008,2008 World Rowing Cup II,"Lucerne, SUI",USA,06:07.490,AUS,06:07.910,CAN,06:08.230,NED,06:09.770,GER,06:11.900,GBR,06:18.320
2008,2008 World Rowing Cup I,"Munich, GER",AUS,06:36.290,CHN,06:42.480,ROU,06:46.870,NED,06:48.750,GBR,06:53.360,GER1,06:57.610
2008,2008 European Championships,"Athens, GRE",ROU,06:10.220,GBR,06:12.460,BLR,06:22.790,ITA,06:25.750,POL,06:26.000,UKR,06:26.700
2007,2007 World Rowing Championships,"Munich, GER",USA,06:17.200,ROU,06:18.330,GBR,06:19.660,AUS,06:19.860,GER,06:19.990,CAN,06:23.100
2007,2007 World Rowing Cup III,"Lucerne, SUI",USA,06:04.360,GER,06:06.550,NED,06:09.930,GBR,06:14.210,NZL,06:15.910,RUS,06:17.110
2007,2007 World Rowing Cup II,"Amsterdam, NED",NED,06:12.760,GER,06:14.980,CHN,06:15.640,AUS,06:17.450,GBR,06:19.370,BLR,06:29.590
2007,2007 World Rowing Cup I,"Linz Ottensheim, AUT",GER1,06:16.810,GBR,06:18.070,NED,06:18.310,CAN,06:20.150,AUS,06:21.930,CHN1,06:22.790
2007,2007 European Championships,"Poznan, POL",ROU,06:23.240,GER,06:27.870,GBR,06:32.580,BLR,06:37.540,UKR,06:39.410,NED,06:56.330
2006,2006 World Rowing Championships,"Eton, GBR",USA,05:55.500,GER,05:57.290,AUS,06:00.290,CHN,06:01.010,CAN,06:03.320,ROM,06:08.230
2006,2006 World Rowing Cup III,"Lucerne, SUI",ROM,06:12.320,USA,06:13.270,GER,06:16.400,GBR,06:16.490,NZL,06:24.380,NED,06:25.830
2006,2006 World Rowing Cup II,"Poznan, POL",ROM,06:04.220,CHN,06:08.000,GBR,06:09.630,AUS,06:10.330,FRA,06:16.030,BLR,06:16.200
2006,2006 World Rowing Cup I,"Munich, GER",GER1,06:14.800,ROM,06:16.840,AUS,06:17.890,NED,06:19.980,CHN,06:20.230,GBR,06:20.550
2005,2005 World Rowing Championships,"Gifu, JPN",AUS,05:58.100,ROM,05:59.500,NED,05:59.610,USA,05:59.880,GBR,06:01.340,GER,06:04.370
2005,2005 World Rowing Cup III,"Lucerne, SUI",ROM,06:06.830,NED1,06:08.390,GER,06:10.340,CHN,06:16.470,NED2,06:23.680,,
2005,2005 World Rowing Cup II,"Munich, GER",AUS,06:35.930,NED,06:37.020,USA,06:41.330,RUS,06:45.880,GER,06:47.160,BLR,06:52.410
2005,2005 World Rowing Cup I,"Eton, GBR",CHN,06:15.400,ROM,06:17.590,GBR,06:22.820,AUS,06:24.500,,,,
2004,2004 Olympic Games,"Athens, GRE",ROM,06:17.700,USA,06:19.560,NED,06:19.850,CHN,06:21.710,GER,06:21.990,AUS,06:31.650
2004,2004 World Rowing Cup III,"Lucerne, SUI",USA,06:11.040,NED,06:13.350,ROM,06:14.350,CAN,06:21.400,AUS,06:22.240,GER,00:00.000
2004,2004 World Rowing Cup II,"Munich, GER",USA,06:30.160,CHN,06:31.130,GER,06:31.950,NED,06:36.270,CAN,06:41.830,,
2004,2004 World Rowing Cup I,"Poznan, POL",GER,06:08.360,ROM,06:11.050,BLR1,06:14.850,BLR2,06:20.290,,,,
2003,2003 World Rowing Championships,"Milan, ITA",GER,06:41.230,ROM,06:44.630,CAN,06:45.530,AUS,06:47.170,USA,06:50.810,BLR,07:06.810
2003,2003 World Rowing Cup III,"Lucerne, SUI",ROM,06:01.800,GER,06:06.920,CAN,06:11.640,AUS,06:17.470,,,,
2003,2003 World Rowing Cup II,"Munich, GER",USA,06:20.460,GER1,06:21.630,GER2,06:30.880,UKR,06:36.490,BLR,06:37.310,,
2003,2003 World Rowing Cup I,"Milan, ITA",USA,06:05.260,ROM,06:08.110,CHN,06:08.940,BLR,06:18.550,ITA,06:28.870,,
2002,2002 World Rowing Championships,"Seville, ESP",USA,06:04.250,AUS,06:05.100,GER,06:05.190,ROM,06:10.650,BLR,06:11.180,CAN,06:11.620
2002,2002 World Rowing Cup III,"Munich, GER",GER,06:15.690,AUS,06:19.810,ROM,06:21.710,CAN,06:25.250,BLR,06:30.290,,
2002,2002 World Rowing Cup II,"Lucerne, SUI",GER,06:06.990,ROM,06:10.280,AUS,06:14.380,BLR,06:15.550,,,,
2002,2002 World Rowing Cup I,"Hazewinkel, BEL",GER,06:10.090,ROM,06:12.310,BLR,06:16.940,,,,,,
2001,2001 World Rowing Championships,"Lucerne, SUI",AUS,06:03.660,ROM,06:04.960,GER,06:05.320,USA,06:05.880,BLR,06:08.120,GBR,06:09.640
2001,2001 World Rowing Cup II,"Seville, ESP",ROM,06:20.700,GER,06:21.960,BLR,06:22.840,GBR,06:28.450,,,,
