Year,Event,Location,1st Place Time,1st Place Location,2nd Place Time,2nd Place Location,3rd Place Time,3rd Place Location,4th Place Time,4th Place Location,5th Place Time,5th Place Location,6th Place Time,6th Place Location
2014,World Rowing Championships,World Record,06:14.360,NZL,,,,,,,,,,
2019,2019 World Rowing Championships,"Linz Ottensheim, AUT",06:43.450,AUS,06:45.550,NED,06:47.840,DEN,06:51.430,POL,06:53.830,ROU,06:55.980,USA
2019,2019 World Rowing Cup III,"Rotterdam, NED",06:48.220,AUS1,06:50.530,DEN,06:52.220,ROU,06:57.840,CAN1,06:59.930,NED1,07:06.180,NZL
2019,2019 World Rowing Cup II,"Poznan, POL",06:52.880,DEN,06:53.960,CHN,06:55.470,AUS,06:55.900,USA1,06:58.830,USA2,07:06.720,GBR1
2019,2019 World Rowing Cup I,"Plovdiv, BUL",06:42.820,NED1,06:45.930,USA2,06:48.020,CHN1,06:53.820,USA1,07:05.730,USA3,07:13.600,CHN2
2019,2019 European Rowing Championships,"Lucerne, SUI",06:24.840,NED,06:27.920,ROU,06:32.370,POL,06:33.010,DEN,06:36.940,RUS,06:37.690,GBR
2018,2018 World Rowing Championships,"Plovdiv, BUL",06:25.570,USA,06:27.090,AUS,06:27.360,RUS,06:28.780,DEN,06:32.050,POL,06:39.840,CHN
2018,2018 World Rowing Cup III,"Lucerne, SUI",06:27.030,AUS1,06:28.670,DEN,06:32.080,USA2,06:33.740,USA1,06:35.810,CHN,06:39.840,POL
2018,2018 World Rowing Cup II,"Linz Ottensheim, AUT",06:30.830,AUS1,06:32.470,GBR,06:33.200,CHN1,06:33.750,GER,06:38.980,RUS,06:41.400,ITA
2018,2018 World Rowing Cup I,"Belgrade, SRB",06:27.360,NED2,06:28.650,NED1,06:30.130,RUS,06:30.370,GBR2,06:34.100,DEN,06:40.150,POL
2018,2018 European Rowing Championships,"Glasgow, GBR",06:39.970,RUS,06:41.870,ROU,06:42.580,POL,06:45.480,GBR,06:46.320,NED,06:47.680,GER
2017,2017 World Rowing Championships,"Sarasota-Bradenton, USA",06:33.580,AUS,06:34.250,POL,06:34.670,RUS,06:35.460,USA,06:36.440,NED,06:44.760,CHN
2017,2017 World Rowing Cup III,"Lucerne, SUI",06:35.820,AUS,06:40.770,RUS,06:40.860,CAN,06:43.750,NED,06:45.980,POL,06:53.100,GBR
2017,2017 World Rowing Cup II,"Poznan, POL",06:22.650,AUS,06:25.530,USA1,06:27.100,POL,06:28.110,CHN,06:30.510,USA2,07:10.680,UKR
2017,2017 World Rowing Cup I,"Belgrade, SRB",06:35.400,NED,06:41.530,POL,06:49.400,BLR1,06:53.560,BLR2,,,,
2017,2017 European Rowing Championships,"Racice, CZE",06:51.640,ROU,06:55.320,POL,06:59.230,NED,07:00.910,ITA,06:51.640,ROU,06:55.320,POL
2016,2016 World Rowing Championships,"Rotterdam, NED",07:16.280,GBR,07:21.530,USA,07:26.150,GER,07:33.610,BLR,07:35.010,CHN,07:38.590,CAN
2016,2016 World Rowing Cup III,"Poznan, POL",06:41.220,GER,06:43.080,BLR2,06:44.300,BLR1,06:46.810,ITA,,,,
2015,2015 World Rowing Championships,"Aiguebelette, FRA",06:25.220,USA,06:31.520,GBR,06:35.560,CHN,06:36.700,GER,06:43.490,IRL,,
2015,2015 World Rowing Cup II,"Varese, ITA",06:27.410,USA1,06:33.490,AUS1,06:39.080,GER,06:41.040,AUS2,06:55.810,ITA,00:00.000,USA2
2014,2014 World Rowing Championships,"Amsterdam, NED",06:14.360,NZL,06:20.690,USA,06:23.310,CHN,06:29.140,FRA,06:36.310,CAN,06:42.000,UKR
2014,2014 World Rowing Cup III,"Lucerne, SUI",06:53.790,FRA1,06:57.020,FRA2,06:59.250,GER1,07:06.760,GER2,,,,
2014,2014 World Rowing Cup II,"Aiguebelette, FRA",06:36.350,CHN1,06:38.550,CAN,06:40.290,CHN2,06:49.210,FRA1,06:53.030,FRA2,,
2013,2013 World Rowing Championships,"Chungju, KOR",06:43.150,USA,06:47.620,CAN,06:49.260,AUS,06:53.760,GER,07:15.900,ITA,07:23.380,KOR
2013,2013 World Rowing Cup III,"Lucerne, SUI",06:34.580,CAN,06:36.860,AUS,06:38.780,NED,06:39.010,NZL,,,,
2011,2011 World Rowing Championships,"Bled, SLO",06:30.300,USA,06:31.180,AUS,06:34.060,NED,06:44.080,CHN,06:46.570,ITA,,
2010,2010 World Rowing Championships,"Karapiro, NZL",07:21.090,NED,07:23.990,AUS,07:24.560,USA,07:29.420,NZL,,,,
2010,2010 World Rowing Cup III,"Lucerne, SUI",06:47.870,USA,06:54.070,GER,06:56.240,CHN,07:27.250,IND,,,,
2010,2010 European Championships,"Montemor-o-Velho, POR",07:28.810,BLR,07:35.440,ITA,,,,,,,,
2009,2009 World Rowing Championships,"Poznan, POL",06:31.340,NED,06:36.010,USA,06:36.870,CAN,06:37.710,AUS,06:42.230,GER,06:42.230,BLR
2009,2009 World Rowing Cup III,"Lucerne, SUI",06:41.960,NED,06:47.240,CHN,06:55.860,GER,07:01.740,ITA,,,,
2008,2008 World Rowing Championships,"Linz Ottensheim, AUT",00:00.000,RUS,06:39.890,BLR,06:43.560,USA,06:44.690,DEN,06:46.850,ITA,06:50.990,CAN
2008,2008 World Rowing Cup III,"Poznan, POL",06:38.500,GER,06:43.620,ITA,,,,,,,,
2007,2007 World Rowing Championships,"Munich, GER",06:37.940,USA,06:40.360,GER,06:43.030,AUS,06:46.550,GBR,06:47.610,CHN,06:52.090,ITA
2007,2007 World Rowing Cup III,"Lucerne, SUI",06:45.160,GER,06:47.860,GBR,06:48.870,ITA,,,,,,
2007,2007 World Rowing Cup II,"Amsterdam, NED",06:31.060,AUS2,06:34.690,AUS1,06:39.550,CHN,06:41.820,NED,,,,
2006,2006 World Rowing Championships,"Eton, GBR",06:25.350,AUS,06:26.750,CHN,06:28.660,USA,06:30.520,BLR,06:31.370,NED,06:32.330,GER
2006,2006 World Rowing Cup III,"Lucerne, SUI",06:52.510,GER,07:02.810,DEN,,,,,,,,
2005,2005 World Rowing Championships,"Gifu, JPN",06:55.560,AUS,07:03.240,GER,07:07.960,BLR,07:41.090,KOR,,,,
2005,2005 World Rowing Cup III,"Lucerne, SUI",06:43.090,CHN,06:46.660,GER,06:48.460,GBR,06:56.820,FRA,07:07.470,AUS,,
2004,2004 World Rowing Championships,"Banyoles, ESP",06:36.280,FRA,06:38.000,RUS,06:38.070,BLR,06:38.430,CHN,06:46.160,UKR,06:47.190,GBR
2004,2004 World Rowing Cup III,"Lucerne, SUI",06:47.760,GBR2,06:49.710,DEN,06:51.930,GBR1,,,,,,
2003,2003 World Rowing Championships,"Milan, ITA",06:53.080,USA,06:54.420,NED,06:56.360,GER,07:01.350,CAN,07:06.940,NZL,,
2003,2003 World Rowing Cup III,"Lucerne, SUI",06:30.740,AUS1,06:33.990,NED,06:34.060,GER,06:39.600,AUS2,06:41.230,AUS3,06:52.840,CHN
2002,2002 World Rowing Championships,"Seville, ESP",06:26.110,AUS,06:28.320,CAN,06:31.280,CHN,06:34.250,NZL,06:35.290,USA,06:35.880,GER
2002,2002 World Rowing Cup III,"Munich, GER",06:36.470,AUS1,06:39.250,CAN,06:42.580,AUS2,06:44.310,NZL1,06:46.800,GER,06:56.870,NZL2
2002,2002 World Rowing Cup II,"Lucerne, SUI",06:35.630,AUS1,06:39.070,CHN1,06:40.030,CHN2,06:43.390,AUS2,06:51.590,GER,06:52.250,GBR
2002,2002 World Rowing Cup I,"Hazewinkel, BEL",06:50.360,GER,06:52.620,GBR,,,,,,,,
2001,2001 World Rowing Championships,"Lucerne, SUI",06:27.230,AUS,06:28.580,NZL,06:30.810,NED,06:30.960,USA,06:36.770,CHN,06:37.610,BLR
