Year,Event,Location,1st Place Time,1st Place Location,2nd Place Time,2nd Place Location,3rd Place Time,3rd Place Location,4th Place Time,4th Place Location,5th Place Time,5th Place Location,6th Place Time,6th Place Location
2017,World Rowing Cup II,World Record,06:49.080,NZL,,,,,,,,,,
2019,2019 World Rowing Championships,"Linz Ottensheim, AUT",07:21.350,NZL,07:23.620,AUS,07:26.520,CAN,07:32.250,USA,07:38.140,ESP,07:40.350,ITA
2019,2019 World Rowing Cup III,"Rotterdam, NED",07:26.150,AUS1,07:27.570,NZL1,07:40.510,GBR2,07:44.850,ROU1,07:48.450,ESP,07:50.080,IRL
2019,2019 World Rowing Cup II,"Poznan, POL",07:35.550,NZL,07:37.250,AUS1,07:43.730,USA1,07:49.870,CAN2,07:53.090,ITA1,07:55.500,CHN1
2019,2019 World Rowing Cup I,"Plovdiv, BUL",07:22.700,NED1,07:23.310,CHN1,07:23.560,USA2,07:23.680,CHN2,07:25.750,USA1,07:27.650,ESP
2019,2019 European Rowing Championships,"Lucerne, SUI",07:14.140,ESP,07:15.520,ROU,07:16.220,ITA,07:18.370,NED,07:20.460,GRE,07:21.730,GBR
2018,2018 World Rowing Championships,"Plovdiv, BUL",06:50.670,CAN,06:52.960,NZL,07:04.600,ESP,07:06.910,ITA,07:11.310,CHN,07:15.700,IRL
2018,2018 World Rowing Cup III,"Lucerne, SUI",07:07.200,NZL,07:07.630,CAN,07:17.790,USA2,07:22.960,USA1,07:26.200,CHN1,07:26.650,AUS
2018,2018 World Rowing Cup II,"Linz Ottensheim, AUT",07:08.530,NZL,07:15.300,ITA1,07:22.240,GBR2,07:24.920,GBR1,07:26.550,ITA2,07:28.740,UKR
2018,2018 World Rowing Cup I,"Belgrade, SRB",06:58.880,CAN,07:04.230,ESP,07:04.400,NED,07:05.480,GBR1,07:17.030,DEN,07:19.670,GBR2
2018,2018 European Rowing Championships,"Glasgow, GBR",07:15.530,ROU,07:17.340,NED,07:17.860,ITA,07:20.240,UKR,07:22.780,GBR,07:37.920,FRA
2017,2017 World Rowing Championships,"Sarasota-Bradenton, USA",07:00.530,NZL,07:04.370,USA,07:06.210,DEN,07:13.740,GBR,07:16.140,ESP,07:30.950,GER
2017,2017 World Rowing Cup III,"Lucerne, SUI",07:01.880,NZL1,07:06.580,USA1,07:11.970,DEN,07:16.250,GBR1,07:24.680,AUS,07:28.240,NZL2
2017,2017 World Rowing Cup II,"Poznan, POL",06:49.080,NZL1,06:54.610,USA1,07:03.080,AUS,07:05.440,CHI,07:07.160,NZL2,07:08.450,GBR
2017,2017 World Rowing Cup I,"Belgrade, SRB",07:11.290,GBR,07:12.400,NED1,07:16.540,NED2,,,,,,
2017,2017 European Rowing Championships,"Racice, CZE",07:00.530,ROU,07:04.360,DEN,07:06.650,GBR,07:17.330,ITA,07:21.250,FRA,07:24.010,ESP
2016,2016 Olympic Games Regatta,"Rio de Janeiro, BRA",07:18.290,GBR,07:19.530,NZL,07:20.710,DEN,07:24.770,USA,07:28.500,RSA,07:35.220,ESP
2016,2016 World Rowing Cup III,"Poznan, POL",06:52.790,GBR1,06:54.390,NZL1,06:58.760,ROU,07:02.810,DEN,07:04.310,GER,07:11.420,NZL2
2016,2016 World Rowing Cup II,"Lucerne, SUI",07:06.360,USA1,07:07.840,NZL1,07:11.310,USA2,07:12.500,RSA,07:13.570,DEN,00:00.000,GBR1
2016,2016 World Rowing Cup I,"Varese, ITA",07:32.020,RSA,07:35.050,ITA1,07:39.510,ESP,07:41.370,GER,07:47.420,RUS1,07:50.140,ITA2
2016,2016 European Rowing Championships,"Brandenburg, GER",07:35.930,GBR,07:43.810,GER,07:47.180,ROU,07:48.780,RUS,07:49.480,DEN,08:03.820,FRA
2015,2015 World Rowing Championships,"Aiguebelette, FRA",06:52.990,GBR,06:56.750,NZL,07:00.550,USA,07:06.790,DEN,07:06.950,RSA,07:14.060,CAN
2015,2015 World Rowing Cup III,"Lucerne, SUI",06:57.590,GBR1,07:00.240,NZL1,07:07.090,DEN,07:09.740,CAN1,07:11.300,RSA,07:19.020,POL
2015,2015 World Rowing Cup II,"Varese, ITA",06:53.670,GBR1,06:55.330,USA2,06:58.060,NZL,07:00.990,USA1,07:07.870,DEN,07:15.720,FRA
2015,2015 World Rowing Cup I,"Bled, SLO",07:14.260,NED,07:14.530,CHN1,07:18.470,CHN2,07:20.250,CHN3,07:29.050,CHN4,07:42.100,CHN5
2015,2015 European Rowing Championships,"Poznan, POL",06:58.280,GBR,07:04.980,NED,07:12.560,ROU,07:13.820,FRA,07:16.430,DEN,07:20.160,POL
2014,2014 World Rowing Championships,"Amsterdam, NED",06:50.610,GBR,06:52.870,USA,06:54.790,NZL,06:59.350,ROU,07:03.450,AUS,07:06.410,RSA
2014,2014 World Rowing Cup III,"Lucerne, SUI",07:12.990,GBR1,07:15.030,NZL2,07:20.450,NZL1,07:25.530,RSA,07:26.030,ROU1,07:26.570,NED
2014,2014 World Rowing Cup II,"Aiguebelette, FRA",07:02.910,GBR1,07:06.980,USA1,07:09.120,USA2,07:11.410,USA3,07:14.790,CHN1,07:16.900,USA4
2014,2014 World Rowing Cup I,"Sydney, AUS",07:09.700,NZL,07:14.620,CHN1,07:17.020,CAN2,07:24.910,CAN1,07:26.690,CHN2,07:31.590,USA1
2014,2014 European Rowing Championships,"Belgrade, SRB",07:03.620,GBR,07:08.520,ROU,07:10.560,NED,07:12.420,IRL,07:23.660,CRO,07:25.240,GER
2013,2013 World Rowing Championships,"Chungju, KOR",07:22.820,GBR,07:25.750,ROU,07:27.580,NZL,07:32.240,USA,07:36.280,NED,07:39.260,RSA
2013,2013 World Rowing Cup III,"Lucerne, SUI",07:01.390,GBR,07:02.350,NZL,07:06.240,USA,07:10.040,ROU,07:10.690,NED,07:10.940,RSA
2013,2013 World Rowing Cup II,"Eton, GBR",06:58.260,GBR1,07:00.410,NZL,07:06.870,GER,07:09.400,GBR2,07:13.760,GBR3,07:17.270,CHN2
2013,2013 World Rowing Cup I,"Sydney, AUS",07:03.550,GBR1,07:07.770,USA2,07:12.320,AUS1,07:13.800,CHN1,07:14.540,GBR2,07:24.300,CAN
2013,2013 European Championships,"Seville, ESP",07:49.090,ROU,07:51.560,GER,07:57.260,UKR,08:03.240,RUS,08:15.420,ITA,08:19.280,CZE
2012,2012 Olympic Games,"London, GBR",07:27.130,GBR,07:29.860,AUS,07:30.190,NZL,07:30.390,USA,07:37.670,ROU,07:42.060,GER
2012,2012 World Rowing Cup III,"Munich, GER",07:33.810,GBR1,07:37.620,NZL,07:42.080,ROU,07:45.970,GER1,07:47.950,CAN,07:48.980,ARG
2012,2012 World Rowing Cup II,"Lucerne, SUI",07:02.140,GBR1,07:04.090,USA1,07:05.980,NZL,07:17.880,AUS1,07:19.740,ARG,07:20.220,RSA
2012,2012 World Rowing Cup I,"Belgrade, SRB",07:00.610,GBR1,07:01.790,USA1,07:03.470,USA2,07:10.720,NED1,07:15.140,GER,07:17.720,ROU2
2012,2012 European Championships,"Varese, ITA",07:14.490,ROU,07:18.650,GBR,07:18.910,CRO,07:25.130,ITA,07:29.410,UKR,07:34.240,TUR
2011,2011 World Rowing Championships,"Bled, SLO",06:58.160,NZL,06:58.240,GBR,07:03.980,AUS,07:06.430,CHN,07:08.640,ROU,07:11.190,RSA
2011,2011 World Rowing Cup III,"Lucerne, SUI",07:00.660,GBR,07:01.320,NZL,07:06.960,USA1,07:12.260,USA2,07:13.270,ROU,07:14.370,RSA
2011,2011 World Rowing Cup II,"Hamburg, GER",07:10.410,NZL,07:15.250,RSA,07:17.330,GER,07:24.500,CRO,07:29.540,RUS,07:38.120,CHN3
2011,2011 World Rowing Cup I,"Munich, GER",07:07.050,GBR,07:09.770,USA1,07:11.500,NED2,07:13.430,USA2,07:15.340,ROU2,07:19.320,NED1
2011,2011 European Championships,"Plovdiv, BUL",07:29.220,ROU,07:31.500,BLR,07:37.790,ITA,07:41.730,GER,07:46.800,UKR,07:47.990,BUL
2010,2010 World Rowing Championships,"Karapiro, NZL",07:17.120,NZL,07:20.240,GBR,07:22.460,USA,07:22.580,AUS,07:22.970,CAN,07:28.690,GER
2010,2010 World Rowing Cup III,"Lucerne, SUI",07:09.570,NZL,07:14.240,USA2,07:15.730,CAN,07:16.820,AUS2,07:18.200,AUS1,07:21.280,GER1
2010,2010 World Rowing Cup II,"Munich, GER",07:15.640,NZL,07:21.510,ROU2,07:22.030,CHN1,07:24.970,GER1,07:26.840,GBR3,07:35.140,ROU1
2010,2010 World Rowing Cup I,"Bled, SLO",07:20.600,CAN,07:22.810,CHN1,07:22.860,USA1,07:26.740,GER,07:28.280,GBR1,07:34.260,GBR2
2010,2010 European Championships,"Montemor-o-Velho, POR",07:22.890,ROU,07:25.250,GER,07:27.620,CRO,07:29.840,ITA,07:31.900,UKR,07:43.460,BUL
2009,2009 World Rowing Championships,"Poznan, POL",07:06.280,USA,07:06.640,ROU,07:06.940,NZL,07:08.280,GER,07:09.250,AUS,07:10.470,GBR
2009,2009 World Rowing Cup III,"Lucerne, SUI",07:20.180,NZL,07:21.280,GER,07:23.730,GBR,07:25.320,USA2,07:26.360,USA1,07:26.630,CHN1
2009,2009 World Rowing Cup II,"Munich, GER",07:24.580,NZL,07:24.670,CHN1,07:27.740,GER1,07:30.720,GER2,07:31.230,GBR1,07:35.670,GBR2
2009,2009 World Rowing Cup I,"Banyoles, ESP",07:27.000,GBR1,07:29.090,RUS,07:35.410,ITA,07:37.810,FRA,07:40.170,GBR2,,
2009,2009 European Championships,"Brest, BLR",07:27.280,ROU,07:30.840,RUS,07:38.030,CRO,07:40.900,UKR,07:41.840,ITA,07:47.860,GER
2008,2008 Olympic Games,"Beijing, CHN",07:20.600,ROU,07:22.280,CHN,07:22.910,BLR,07:25.730,GER,07:28.800,NZL,07:33.610,GBR
2008,2008 World Rowing Cup III,"Poznan, POL",07:25.940,GER1,07:31.090,NZL,07:33.590,ROU,07:39.470,CAN,07:49.010,GER2,,
2008,2008 World Rowing Cup II,"Lucerne, SUI",07:05.940,CHN1,07:09.250,USA1,07:10.210,USA2,07:16.650,AUS1,07:17.400,NZL,07:23.300,FRA
2008,2008 World Rowing Cup I,"Munich, GER",07:49.940,CHN1,07:56.620,GER1,08:00.450,USA1,08:04.950,NED,08:07.960,BLR,08:13.320,USA2
2008,2008 European Championships,"Athens, GRE",07:17.530,ROU,07:19.050,RUS,07:21.350,BLR,07:25.830,ITA,07:29.310,LTU,,
2007,2007 World Rowing Championships,"Munich, GER",07:06.560,BLR,07:07.990,GER,07:08.870,ROU,07:10.850,AUS,07:12.490,NZL,07:16.280,CHN
2007,2007 World Rowing Cup III,"Lucerne, SUI",07:06.670,NZL,07:08.000,USA,07:13.160,ROU1,07:17.870,GBR,07:21.110,DEN,07:26.480,ROU2
2007,2007 World Rowing Cup II,"Amsterdam, NED",07:01.040,CHN1,07:02.480,NZL,07:03.860,AUS1,07:04.190,AUS2,07:05.420,GER1,07:10.490,GER2
2007,2007 World Rowing Cup I,"Linz Ottensheim, AUT",07:09.390,AUS4,07:10.490,USA1,07:11.970,USA2,07:12.380,CAN,07:15.810,GBR,07:20.450,AUS2
2007,2007 European Championships,"Poznan, POL",07:18.000,GER,07:30.900,RUS,07:34.600,ROU,07:46.750,FRA,07:47.890,POL,07:49.330,LTU
2006,2006 World Rowing Championships,"Eton, GBR",06:54.680,CAN,06:56.720,NZL,06:57.110,GER,06:58.230,USA,07:05.960,NED,07:07.580,DEN
2006,2006 World Rowing Cup III,"Lucerne, SUI",07:12.780,USA,07:14.400,GER1,07:16.570,NED1,07:20.430,NZL,07:29.430,BLR,07:38.010,GER2
2006,2006 World Rowing Cup II,"Poznan, POL",07:01.680,GER1,07:02.380,GER2,07:04.870,AUS1,07:06.050,AUS2,07:08.190,AUS3,07:09.980,NED
2006,2006 World Rowing Cup I,"Munich, GER",07:17.360,CAN1,07:20.110,GER2,07:20.360,AUS3,07:22.370,GER1,07:23.890,USA1,07:26.050,AUS2
2005,2005 World Rowing Championships,"Gifu, JPN",07:43.830,NZL,07:47.570,AUS,07:50.070,RUS,07:55.710,ROM,07:59.490,BLR,08:01.710,USA
2005,2005 World Rowing Cup III,"Lucerne, SUI",07:03.520,NZL,07:11.320,BLR,07:14.990,GBR1,07:18.280,FRA,07:20.940,DEN,00:00.000,GER
2005,2005 World Rowing Cup II,"Munich, GER",07:51.000,NZL,07:53.600,AUS2,07:55.850,AUS3,07:57.040,BLR,08:00.090,GER1,08:00.900,AUS1
2005,2005 World Rowing Cup I,"Eton, GBR",07:36.010,AUS3,07:42.430,AUS4,07:42.930,AUS2,07:43.150,ROM,07:55.890,GER,08:01.550,BLR
2004,2004 Olympic Games,"Athens, GRE",07:06.550,ROM,07:08.660,GBR,07:09.860,BLR,07:13.330,CAN,07:20.200,GER,07:23.520,NZL
2004,2004 World Rowing Cup III,"Lucerne, SUI",07:09.550,ROM,07:10.500,BLR,07:15.660,GBR,07:16.780,CAN,07:21.420,GER1,07:46.170,RUS1
2004,2004 World Rowing Cup II,"Munich, GER",07:39.790,GBR,07:43.140,CAN,07:44.520,USA1,07:46.110,CHN1,07:52.540,USA2,07:59.610,FRA
2004,2004 World Rowing Cup I,"Poznan, POL",07:13.620,ROM,07:14.790,GBR,07:16.740,GER,07:23.940,RUS,07:27.090,FRA,07:47.630,BLR
2003,2003 World Rowing Championships,"Milan, ITA",07:04.880,GBR,07:05.890,BLR,07:06.160,ROM,07:07.370,CAN,07:14.170,CHN,07:21.940,USA
2003,2003 World Rowing Cup III,"Lucerne, SUI",07:10.720,CAN,07:11.990,BLR,07:13.010,GBR,07:14.530,GER,07:25.070,RUS,07:32.090,AUS
2003,2003 World Rowing Cup II,"Munich, GER",07:24.210,GBR,07:24.950,BLR,07:27.290,GER3,07:29.270,GER2,07:32.320,USA1,07:34.190,GER1
2003,2003 World Rowing Cup I,"Milan, ITA",07:04.120,ROM,07:07.550,GBR2,07:08.580,FRA,07:11.570,BLR1,07:12.760,GBR1,07:18.930,BUL
2002,2002 World Rowing Championships,"Seville, ESP",06:53.800,ROM,06:57.080,CAN,06:59.210,BLR,07:02.620,UKR,07:06.510,RSA,07:08.600,AUS
2002,2002 World Rowing Cup III,"Munich, GER",07:07.840,ROM,07:10.390,BLR,07:13.410,CAN1,07:15.670,RSA,07:16.590,GER1,07:18.090,AUS2
2002,2002 World Rowing Cup II,"Lucerne, SUI",07:12.960,ROM,07:18.560,RSA,07:18.940,BLR,07:22.640,AUS2,07:23.730,USA,07:25.930,GER
2002,2002 World Rowing Cup I,"Hazewinkel, BEL",07:16.890,ROM,07:21.640,UKR,07:23.640,RSA,07:29.170,BLR,07:29.520,FRA,07:30.460,GBR1
2001,2001 World Rowing Championships,"Lucerne, SUI",07:01.270,ROM,07:03.510,BLR,07:05.520,CAN,07:07.060,AUS,07:08.860,GBR,07:14.520,GER
2001,2001 World Rowing Cup III,"Vienna, AUT",08:26.440,GBR,08:30.950,BLR1,08:36.830,BLR2,08:40.940,ROM,08:49.240,UKR,08:58.700,CHN
2001,2001 World Rowing Cup II,"Seville, ESP",07:30.500,ROM,07:34.030,BLR1,07:37.050,GBR,07:37.750,GER,07:46.770,BLR2,07:50.220,POL
