Year,Event,Location,1st Place Time,1st Place Location,2nd Place Time,2nd Place Location,3rd Place Time,3rd Place Location,4th Place Time,4th Place Location,5th Place Time,5th Place Location,6th Place Time,6th Place Location
2014,World Rowing Championships,World Record,06:06.840,GER,,,,,,,,,,
2019,2019 World Rowing Championships,"Linz Ottensheim, AUT",06:34.650,CHN,06:36.590,POL,06:36.620,NED,06:45.110,GER,06:46.550,NZL,06:46.840,GBR
2019,2019 World Rowing Cup III,"Rotterdam, NED",06:46.640,GER,06:49.590,POL,06:55.200,AUS,06:58.190,GBR,06:58.830,NED1,07:09.920,USA
2019,2019 World Rowing Cup II,"Poznan, POL",06:38.240,CHN,06:42.380,POL,06:42.890,GER,06:51.510,AUS,06:55.470,NED,,
2019,2019 European Rowing Championships,"Lucerne, SUI",06:16.690,GER,06:17.080,NED,06:18.820,UKR,06:20.240,POL,06:26.710,GBR,06:27.540,ROU
2018,2018 World Rowing Championships,"Plovdiv, BUL",06:08.960,POL,06:11.420,GER,06:11.790,NED,06:11.850,CHN,06:16.450,GBR,06:18.150,USA
2018,2018 World Rowing Cup III,"Lucerne, SUI",06:27.280,GER1,06:29.280,POL,06:31.040,NED,06:31.370,CHN,06:34.930,GER2,06:35.720,AUS1
2018,2018 World Rowing Cup II,"Linz Ottensheim, AUT",06:25.910,GER,06:28.770,CHN1,06:28.920,AUS,06:29.050,UKR,06:29.880,NED,06:32.490,POL
2018,2018 World Rowing Cup I,"Belgrade, SRB",06:14.310,NED,06:16.150,POL,06:17.420,GER,06:21.190,CHN,06:22.410,FRA,06:26.320,RUS
2018,2018 European Rowing Championships,"Glasgow, GBR",06:20.920,POL,06:23.860,UKR,06:24.950,NED,06:26.030,GBR,06:26.840,ROU,06:31.050,RUS
2017,2017 World Rowing Championships,"Sarasota-Bradenton, USA",06:16.720,NED,06:17.710,POL,06:19.930,GBR,06:21.560,GER,06:22.060,USA,06:24.250,AUS
2017,2017 World Rowing Cup III,"Lucerne, SUI",06:17.310,POL,06:18.010,NED,06:24.590,AUS1,06:25.660,GER,06:29.500,GBR,06:36.720,AUS2
2017,2017 World Rowing Cup II,"Poznan, POL",06:14.600,POL,06:17.290,AUS,06:18.350,CHN,06:18.640,GER,,,,
2017,2017 World Rowing Cup I,"Belgrade, SRB",06:29.280,POL,06:31.970,NED,06:35.710,GBR,,,,,,
2017,2017 European Rowing Championships,"Racice, CZE",06:24.080,GER,06:25.630,NED,06:26.540,GBR,06:30.260,POL,06:31.920,FRA,06:33.560,BLR
2016,2016 Olympic Games Regatta,"Rio de Janeiro, BRA",06:49.390,GER,06:50.330,NED,06:50.860,POL,06:56.090,UKR,06:57.670,USA,06:59.450,CHN
2016,2016 World Rowing Cup III,"Poznan, POL",06:14.080,GER,06:14.400,AUS,06:15.310,NED,06:16.060,POL,,,,
2016,2016 World Rowing Cup II,"Lucerne, SUI",06:32.670,POL,06:34.320,GER,06:34.700,NED,06:36.950,CHN,06:39.730,AUS,06:42.570,USA2
2016,2016 World Rowing Cup I,"Varese, ITA",06:36.340,POL,06:36.470,NED,06:39.370,UKR,06:39.520,GBR,,,,
2016,2016 European Rowing Championships,"Brandenburg, GER",07:14.310,GER,07:18.530,POL,07:21.120,UKR,07:21.720,NED,07:28.770,GBR,07:32.760,RUS
2015,2015 World Rowing Championships,"Aiguebelette, FRA",06:27.070,USA,06:28.410,GER,06:29.690,NED,06:31.010,POL,06:31.030,AUS,06:39.300,NZL
2015,2015 World Rowing Cup III,"Lucerne, SUI",06:22.730,GER,06:23.980,AUS,06:24.250,NED,06:25.220,NZL,06:28.090,POL,06:29.600,GBR
2015,2015 World Rowing Cup II,"Varese, ITA",06:14.460,GER1,06:17.250,POL,06:17.420,USA,06:19.630,CHN1,06:19.670,AUS,06:29.150,NZL
2015,2015 World Rowing Cup I,"Bled, SLO",06:28.050,GER,06:30.960,POL1,06:31.320,NED,06:36.350,CHN,06:54.480,CZE,,
2015,2015 European Rowing Championships,"Poznan, POL",06:18.930,GER,06:19.540,NED,06:20.870,POL,06:21.070,GBR,06:27.540,UKR,06:37.000,FRA
2014,2014 World Rowing Championships,"Amsterdam, NED",06:06.840,GER,06:10.510,CHN,06:12.030,USA,06:14.430,AUS,06:15.560,NZL,06:16.720,CAN
2014,2014 World Rowing Cup III,"Lucerne, SUI",06:24.650,GER,06:28.480,CAN,06:30.660,NZL,06:33.140,AUS,06:36.410,NED,06:37.320,POL
2014,2014 World Rowing Cup II,"Aiguebelette, FRA",06:16.850,GER,06:20.870,USA1,06:22.270,NZL,06:22.590,CAN,06:26.720,GBR,06:29.590,CHN
2014,2014 World Rowing Cup I,"Sydney, AUS",06:25.880,AUS,06:27.200,GER,06:31.310,POL,07:11.830,VIE,,,,
2014,2014 European Rowing Championships,"Belgrade, SRB",06:14.640,BLR,06:15.380,GER,06:17.810,POL,06:20.180,NED,06:20.370,GBR,06:23.030,UKR
2013,2013 World Rowing Championships,"Chungju, KOR",06:41.860,GER,06:45.020,CAN,06:46.270,POL,06:49.050,NED,06:50.790,USA,06:53.460,ITA
