Year,Event,Location,1st Place Time,1st Place Location,2nd Place Time,2nd Place Location,3rd Place Time,3rd Place Location,4th Place Time,4th Place Location,5th Place Time,5th Place Location,6th Place Time,6th Place Location
2002,"World Rowing Championships - Guadalquivir/Seville, Spain",World Record,07:07.710,BUL,,,,,,,,,,
2019,2019 World Rowing Championships,"Linz Ottensheim, AUT",07:17.140,IRL,07:20.560,NZL,07:22.210,USA,07:25.480,GBR,07:26.930,SUI,07:29.700,CAN
2019,2019 World Rowing Cup III,"Rotterdam, NED",08:14.030,NZL,08:18.600,SUI1,08:28.020,NED1,08:28.080,GBR,08:40.070,GER1,08:50.380,CZE
2019,2019 World Rowing Cup II,"Poznan, POL",08:04.450,NZL1,08:04.570,AUT,08:05.110,CAN,08:05.900,USA,08:13.990,GBR,08:15.200,DEN
2019,2019 World Rowing Cup I,"Plovdiv, BUL",08:04.010,NED1,08:05.370,CHN,08:08.450,CZE,08:22.260,BUL1,08:33.000,SRB,08:36.450,BLR
2019,2019 European Rowing Championships,"Lucerne, SUI",07:23.180,IRL,07:24.040,SUI,07:24.850,CZE,07:25.030,AUT,07:29.140,DEN,07:29.190,NED
2018,2018 World Rowing Championships,"Plovdiv, BUL",07:20.120,IRL,07:25.930,SUI,07:29.510,AUT,07:30.410,USA,07:33.150,DEN,07:41.680,GER
2018,2018 World Rowing Cup III,"Lucerne, SUI",07:35.940,SUI,07:36.170,IRL,07:37.030,CAN,07:39.180,USA,07:47.180,AUT,07:48.480,GER1
2018,2018 World Rowing Cup II,"Linz Ottensheim, AUT",07:19.520,SUI,07:22.930,AUT1,07:23.080,DEN,07:24.730,GBR1,07:28.060,AUS,07:28.820,GER
2018,2018 World Rowing Cup I,"Belgrade, SRB",07:22.780,SUI,07:25.300,IRL,07:25.510,AUT,07:27.780,GER1,07:27.930,GBR,07:31.960,DEN
2018,2018 European Rowing Championships,"Glasgow, GBR",07:31.150,SUI,07:32.620,AUT,07:32.670,UKR,07:44.950,ITA,07:47.710,GRE,07:50.820,DEN
2017,2017 World Rowing Championships,"Sarasota-Bradenton, USA",07:22.580,SUI,07:24.500,GBR,07:26.560,AUT,07:26.910,IRL,07:32.690,NED,07:35.930,CAN
2017,2017 World Rowing Cup III,"Lucerne, SUI",07:25.220,SUI,07:27.530,CAN,07:29.080,AUT1,07:29.170,USA1,07:33.430,GBR,07:37.940,GER
2017,2017 World Rowing Cup II,"Poznan, POL",07:13.260,AUT1,07:14.740,GBR1,07:15.480,CHN1,07:20.870,GER1,07:24.180,NZL,07:28.780,UKR
2017,2017 World Rowing Cup I,"Belgrade, SRB",07:27.880,SUI,07:32.190,GBR,07:32.700,AUT,07:33.970,BLR1,07:36.200,IRL,07:55.910,UKR
2017,2017 European Rowing Championships,"Racice, CZE",07:34.230,GBR,07:34.920,BLR,07:35.790,GER,07:36.370,DEN,07:45.050,SWE,07:50.330,LAT
2016,2016 Olympic Games Regatta,"Rio de Janeiro, BRA",07:21.540,AUS,07:22.920,USA,07:24.130,CHN,07:24.480,NZL,07:29.690,SUI,07:34.860,AUT
2016,2016 World Rowing Cup III,"Poznan, POL",07:15.980,AUS1,07:19.150,NZL1,07:22.200,SUI,07:22.660,NED1,07:23.470,AUT1,07:23.580,DEN
2016,2016 World Rowing Cup II,"Lucerne, SUI",07:28.380,AUS,07:30.980,USA,07:32.270,CZE,07:32.640,CHN,07:33.710,CAN,07:51.750,AUT
2016,2016 World Rowing Cup I,"Varese, ITA",07:49.410,CAN,07:50.970,BLR1,07:51.400,IRL,07:52.170,SUI,07:56.220,BLR2,07:57.530,CHN
2016,2016 European Rowing Championships,"Brandenburg, GER",09:22.320,AUT,09:39.100,LAT,09:44.770,IRL,09:46.080,BLR,10:01.970,LTU,10:15.400,CZE
2015,2015 World Rowing Championships,"Aiguebelette, FRA",07:38.920,AUS,07:41.880,CZE,07:43.210,CHN,07:45.450,USA,07:47.890,SUI,07:48.160,CAN
2015,2015 World Rowing Cup III,"Lucerne, SUI",07:21.580,AUS1,07:28.990,CZE,07:32.580,USA,07:35.150,BLR,07:36.340,NZL1,07:43.930,AUT
2015,2015 World Rowing Cup II,"Varese, ITA",07:20.100,AUS1,07:29.160,USA,07:31.160,AUT,07:31.190,CAN,07:31.240,BLR,07:32.910,CHN1
2015,2015 World Rowing Cup I,"Bled, SLO",07:39.660,BLR2,07:41.740,CZE,07:42.370,BLR1,07:45.640,CHN2,07:47.280,AUT1,07:58.210,SRB1
2015,2015 European Rowing Championships,"Poznan, POL",07:30.240,CZE,07:32.000,SUI,07:33.160,BLR,07:33.160,LTU,07:33.290,IRL,07:37.550,DEN
